TERMOS;OBSERVA��O (CARACTERES);EXLCUIR;sin�nimo (categoria);Frequency
ACTION FRAME;;;ACTIVIST KNOWLEDGES;1
ACTION RESEARCH;;;;1
ACTIVISMI PREFACE;;;ACTIVIST KNOWLEDGES;1
ACTIVIST KNOWLEDGES;;;ACTIVIST KNOWLEDGES;1
ACTIVIST-ORIENTED THEATRE;;;ACTIVIST KNOWLEDGES;1
ACTIVISTS APPROACH;;;ACTIVIST KNOWLEDGES;1
ACTIVISTS POLITICAL;;;ACTIVIST KNOWLEDGES;1
ADAPTIVE THROWING;;;;1
ADDICT EXPERIENCES;;;DRUG ADDICT;1
ADDRESS PROVIDER;;;;1
ADDRESS RACIAL;;;;1
ADDRESS TOXIC;;;;1
ADDRESSING AMBIVALENCE;;;;1
ADDRESSING EQUITY;;;EQUITY ADDRESSING;1
ADDRESSING LONG-ACTING;;;LONG-ACTING REVERSIBLE;1
ADDRESSING TEENAGE;;;ADDRESSING TEENAGE;1
ADOLESCENT CONTRACEPTIVE;;;ADDRESSING TEENAGE;1
ADOLESCENT GYNECOLOGY;;;ADDRESSING TEENAGE;1
ADOLESCENT MOTHERS;;;ADDRESSING TEENAGE;1
ADOLESCENT RELATIONSHIP;;;ADDRESSING TEENAGE;1
ADOLESCENT SEXUAL;;;ADDRESSING TEENAGE;1
ADOLESCENTS PERCEPTIONS;;;ADDRESSING TEENAGE;1
ADOLESCENTS-REPRODUCTIVE JUSTICE;;;ADDRESSING TEENAGE;1
ADOPTION BELONGING;;;ADOPTION BELONGING;1
ADOPTION FALLACY;;;ADOPTION BELONGING;1
ADOPTION NARRATIVES;;;ADOPTION BELONGING;1
ADOPTION SERVICE;;;ADOPTION BELONGING;1
ADPF ABORTO;;;ABORTION STUDY;1
ADULT HEALTH;;;;1
ADULT INDIAN;;;;1
ADULT REPRODUCTIVE;;;;1
ADULTS PERCEPTION;;;;1
ADVANCE DIRECTIVES;;;;1
ADVANCE MATERNAL;;;ADVANCE MATERNAL;1
ADVANCED MATERNAL;;;ADVANCE MATERNAL;1
ADVANCED MOTHERHOOD;;;;1
ADVANCED PRACTICE;;;;1
ADVANCING BIRTH;;;REPRODUCTIVE HEALTH;1
ADVANCING GENDER;;;;1
ADVOCACY DOULA;;;ACTIVIST KNOWLEDGES;1
ADVOCACY EFFORTS;;;ACTIVIST KNOWLEDGES;1
ADVOCACY NAMING;;;ACTIVIST KNOWLEDGES;1
ADVOCACY ORGANIZATIONS;;;ACTIVIST KNOWLEDGES;1
ADVOCACY SUCCESSES;;;ACTIVIST KNOWLEDGES;1
ADVOCACY TOPICS;;;ACTIVIST KNOWLEDGES;1
AFFECT LIFE;;1;;1
AFFECTING UNINTENDED;;;;1
AFFECTIVE METABOLISM;;;;1
AFFLUENT NATIONS;;;;1
AFFORDABLE HOUSING;;;;1
AFRICAN INDIGENOUS;;;;1
AFRICAN MOTHER;;;;1
AGE CONTRIBUTED;;;;1
AGE LIMIT;;;;1
AGE LIMITS;;;;1
AGENCY MATERIALITY;;;;1
AL LOG;;1;;1
ALIGNING ACTIONS;;;;1
ALLEGORIES I-;;1;;1
ALLEVIATING WORLD;;;;1
ALTRUISTIC SURROGACY;;;;1
AMANDINE GAY;;;;1
AMBIVALENT SEXISM;;;;1
AMERICA ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
AMERICA IMPACT;;;;1
AMERICA REPRODUCTIVE;;;;1
AMERICAN CARCERAL;;;ABOLITION POLITICS;1
AMERICAN CONGRESS;;;;1
AMERICAN FAMILIES;;;;1
AMERICAN FEMALE;;;;1
AMERICAN FICTION;;;;1
AMERICAN LITERATURE;;;;1
AMERICAN PROFESSIONAL;;;;1
AMPLIFYING RHETORICS;;;;1
AMULYA MALLADIS;;;;1
ANALYSING LOCAL;;1;;1
ANALYSIS EMPOWERING;;;;1
ANALYSIS MODEL;;1;;1
ANALYTICAL APERTURE;;;;1
ANALYZING HUMAN;;;;1
ANALYZING REPRODUCTIVE;;;;1
ANDAS CULTIVATION;;;;1
ANESTHESIA PROVIDER;;;;1
ANGLOPHONE LITERATURE;;;;1
ANN SCALES;;1;;1
ANNE DONCHIN;;;;1
ANNIE ERNAUXS;;;;1
ANONYME KOMMUNIKATIONSMATRIXVON;;;;1
ANONYMOUS MATRIX;;;;1
ANTHROGENESIS ABOLITIONIST;;;ABOLITION POLITICS;1
ANTHROPOLOGY STATEMENT;;;;1
ANTI-ABORTION IDEOLOGY;;;ABORTION STUDY;1
ANTI-ABORTION LAWS;;;ABORTION STUDY;1
ANTI-ABORTION POLICIES;;;ABORTION STUDY;1
ANTI-ABORTION REFORMS;;;ABORTION STUDY;1
ANTI-ABORTION RHETORIC;;;ABORTION STUDY;1
ANTI-ABTREIBUNGSREFORMEN KANN;;;;1
ANTI-BLACK ABLEISM;;;;1
ANTI-BLACK GENDERED;;;;1
ANTI-BLACK RACIAL;;;;1
ANTICIPATORY REGIMES;;;;1
ANTI-COLONIAL PEDAGOGIES;;;;1
ANTI-CRISIS PREGNANCY;;;;1
ANTI-ELAB MOVEMENT;;;;1
ANTI-GENDER STANCES;;;;1
ANTI-HETEROPATRIARCHAL REPRODUCTIVE;;;;1
ANTI-LYNCHING PLAYS;;;;1
ANTI-MULLERIAN HORMONE;;;;1
ANTI-RACIST ORGANIZING;;;ACTIVIST KNOWLEDGES;1
ANXIETY DISORDER;;;;1
APERTURE PROPOSITIONS;;;;1
APOSS MUSKOKA;;;;1
APPALACHIAN WOMEN;;;;1
APPLYING CRITICAL;;;;1
APPLYING INTERSECTIONAL;;;;1
ARAB WORLD;;;;1
ARENDT NATALITY;;;;1
ARGENTINE FILMS;;;ART-BASED APPROACH;1
ARM PROVIDING;;;;1
ARMED CONFLICT;;;;1
ART EDUCATION;;;ART-BASED APPROACH;1
ART EXCEPTIONALISM;;;ART-BASED APPROACH;1
ART RESPECTING;;;ART-BASED APPROACH;1
ART-BASED APPROACH;;;ART-BASED APPROACH;1
ARTICULATING REPRODUCTIVE;;;;1
ARTIFICIAL INTELLIGENCE;;;;1
ARTISTS ENGAGE;;;ART-BASED APPROACH;1
ARTS JUSTICE;;;ART-BASED APPROACH;1
ASIAN AMERICAN;;;;1
ÚNICO DE;CARACTER ESPECIAL;;;1
ASPIRATIONAL SOLIDARITY;;;;1
ASSAULT CHARACTERISTICS;;;;1
ASSAULT MEDICAL;;;;1
ASSESSING FEASIBILITY;;;;1
ASSIGNED FEMALE;;;;1
ASSISTED LIVING;;;ASSISTED REPRODUCTION;1
AT-RISK MOTHERS;;;;1
ATTACK FIGHTING;;;;1
ATTENDANCE ASSOCIATIONS;;;;1
AUDIÊNCIA PÚBLICA;CARACTER ESPECIAL;;;1
AUDIENCE RESEARCH;;1;;1
AUSTRALIAN BIRTH;;;;1
AUSTRALIAN TRANSGENDER;;;;1
AUTHORITARIAN POLITICS;;;;1
AUTOETHNOGRAPHIC EXAMINATION;;;;1
AUTONOMY EQUALITY;;;EQUITY ADDRESSING;1
AVALIAÇÃO CRÍTICA;CARACTER ESPECIAL;;;1
AVEC AMANDINE;;;;1
AVERY DISCUSSES;;;;1
AWARENESS SEXUAL;;;;1
BABIESHOW MODERN;;;;1
BABY-HUNGER SURROGACY;;;;1
BAD ECOSEX;;;;1
BAJO CAUCA;;;;1
BALANCING ENHANCED;;;;1
BALINESE COMPOUND;;;;1
BALTIMORE MD;;;;1
BAN LEGISLATION;;;;1
BAN TRANSNATIONAL;;;;1
BANS-A REPRODUCTIVE;;;;1
BARRIERS FACED;;;;1
BARS COERCION;;;;1
BEAR DENIED;;;;1
BEARING CHILDREN;;;;1
BEARING RISKS;;;;1
BEDSIDE INCORPORATING;;;;1
BEGET SLAVES;;;;1
BEGINNINGS IDOBBSI;;;;1
BEINGKNOWINGFEELING STORYTELLING;;;;1
BELIEF MODEL;;;;1
BIOETHICAL INVENTORY;;;ETHICAL ISSUES;1
BIOETHICAL NORM;;;ETHICAL ISSUES;1
BIOETHICS DE;;;ETHICAL ISSUES;1
BIOETHICS OWES;;;ETHICAL ISSUES;1
BIOETHICS READER;;;ETHICAL ISSUES;1
BIOPOLITICS WOMENS;;;;1
BIRTH ACTIVISM;;;ACTIVIST KNOWLEDGES;1
BIRTH CENTER;;;;1
BIRTH CHILDBIRTH;;;;1
BIRTH COMPANION;;;;1
BIRTH DEFECTS;;;;1
BIRTH DISABILITY;;;;1
BIRTH DISCOURSE;;;;1
BIRTH DUE;;;;1
BIRTH EQUITY;;;BIRTH JUSTICE;1
BIRTH EXPERIENCES;;;;1
BIRTH FAMILY;;;;1
BIRTH GIVERS;;;;1
BIRTH JUSTICE-FOCUSED;;;BIRTH JUSTICE;1
BIRTH OUTCOMES;;;;1
BIRTH PLANNING;;;;1
BIRTH PROFESSIONALS;;;;1
BIRTH RACE;;;BLACK BIRTH;1
BIRTH RIGHTS;;;;1
BIRTH SPACING;;;;1
BIRTH- TIMETHE;;;;1
BIRTH WORKERS;;;;1
BIRTHING BLACKBOYJOY;;;;1
BIRTHING BODIES;;;;1
BIRTHING COMMUNITIES;;;;1
BIRTHING EXPERIENCES;;;;1
BIRTHING KNOWLEDGE;;;;1
BIRTHING RESTRICTIONS;;;;1
BIRTHRIGHT CITIZENSHIP;;;;1
BISEXUAL WOMEN;;;;1
BLACK ADOLESCENT;;;ADDRESSING TEENAGE;1
BLACK BIRTH;;;BLACK BIRTH;1
BLACK BOYS;;;BLACK LIVES;1
BLACK CELEBRITIES;;;BLACK LIVES;1
BLACK COMMUNITY;;;BLACK LIVES;1
BLACK FEMINISM;;;BLACK FEMINISM;1
BLACK FEMINISTS;;;BLACK FEMINISM;1
BLACK HEALTH;;;BLACK LIVES;1
BLACK INCARCERATED;;;BLACK LIVES;1
BLACK LIFE;;;BLACK LIVES;1
BLACK LITERATURE;;;;1
BLACK MAMAS;;;BLACK MOTHERS;1
BLACK MOTHER;;;BLACK MOTHERS;1
BLACK MOTHERWORK;;;BLACK LIVES;1
BLACK PREGNANCY-RELATED;;;BLACK MOTHERS;1
BLACK TRANS;;;BLACK QUEER;1
BLACK TRASH;;;BLACK LIVES;1
BLACKBOYJOY BLACK;;;;1
BLEED KILL;;;;1
BLOOD SPOT;;;;1
BLOODY MARVELS;;;;1
BLUEFIELDS NICARAGUA;;;;1
BMI REPRODUCTIVE;;;;1
BODIES BODY;;;;1
BODIES DELIVERING;;;;1
BODIES RAPE;;;;1
BODY ONTOLOGIES;;;;1
BODY POLITICS;;;;1
BODY REPRODUCTIVE;;;;1
BODY SIZE;;;;1
BODY-TERRITORIES UNDERSTANDING;;;;1
BOND POWER;;;;1
BONES MEANS;;;;1
BOONS POTENTIAL;;;;1
BORDER VIOLENCE;;;;1
BORDERLANDS WINNER;;;;1
BORDERS GLOBAL;;;;1
BORN REPRODUCTIVE;;;;1
BORN TRANSNATIONAL;;;;1
BOTTOM-UP ADVOCACY;;;ACTIVIST KNOWLEDGES;1
BRASILEÑA CON;;1;;1
BRASILEIRO DE;;1;;1
BRAZIL AMPLIFIED;;;;1
BRAZIL III;;1;;1
BRAZIL LIÇÕES;CARACTER ESPECIAL;;;1
BRAZIL REVISITING;;;;1
BRAZILIAN BLACK;;;;1
BRAZILIAN CONTEXT;;;;1
BRAZILIAN WOMEN;;;;1
BRAZILS UNIFIED;;;;1
BREAKING FAMILIES;;;;1
BREAKING FREE;;;;1
BREAST MILK;;;BREASTFEEDING IMPLICATIONS;1
BREASTFEEDING PHYSICIANS;;;BREASTFEEDING IMPLICATIONS;1
BRIDGE BABIES;;;;1
BRIDGING SILOS;;;;1
BRITAIN INTRODUCTION;;;;1
BRITAIN PUNISHING;;;;1
BRITISH WELFARE;;;;1
BROADER UNDERSTANDING;;;;1
BRUNSWICK CANADA;;;;1
BUILD FEMINIST;;;;1
BUILDING COLLECTIVE;;;;1
BUILDING EQUITABLE;;;EQUITY ADDRESSING;1
BUILDING REPRODUCTIVE;;;;1
BYLLYE AVERY;;;;1
CALIFORNIA INDIANS;;;;1
CALIFORNIA WOMENS;;;;1
CANADA APOSS;;;;1
CANADAS CHEMICAL;;;;1
CANADIAN HISTORY;;;;1
CANCER CARE;;;;1
CANCER PREVENTION;;;;1
CANTONADA EXPLOTACIÓ;;;;1
CARCERAL REPRODUCTION;;;ABOLITION POLITICS;1
CARCERAL SYSTEMS;;;ABOLITION POLITICS;1
CARCERAL TOOL;;;ABOLITION POLITICS;1
CARDIOVASCULAR DISEASES;;;;1
CARE ADVOCACY;;;ACTIVIST KNOWLEDGES;1
CARE DELIVERY;;;CARE IMPLICATIONS;1
CARE DESERT;;;CARE IMPLICATIONS;1
CARE DISMANTLING;;;CARE IMPLICATIONS;1
CARE DISSEMINATION;;;CARE IMPLICATIONS;1
CARE ENTANGLING;;;CARE IMPLICATIONS;1
CARE ETHICALLY;;;ETHICAL ISSUES;1
CARE HISTORY;;;CARE IMPLICATIONS;1
CARE IMPLICATIONS;;;CARE IMPLICATIONS;1
CARE INTERACTIONS;;;CARE IMPLICATIONS;1
CARE ITINERARIES;;;CARE IMPLICATIONS;1
CARE LIMINALITY;;;CARE IMPLICATIONS;1
CARE PROVIDER;;;CARE IMPLICATIONS;1
CARE QUALITY;;;CARE IMPLICATIONS;1
CARE RELATIONSHIPS;;;CARE IMPLICATIONS;1
CARE REPRODUCTIVE;;;CARE IMPLICATIONS;1
CARE RESOURCES;;;CARE IMPLICATIONS;1
CARE SETTING;;;CARE IMPLICATIONS;1
CARE STRATEGIES;;;CARE IMPLICATIONS;1
CARE SYSTEMS;;;CARE IMPLICATIONS;1
CARE TACKLING;;;CARE IMPLICATIONS;1
CARE TEAM;;;CARE IMPLICATIONS;1
CARE TEAMS;;;CARE IMPLICATIONS;1
CAROLINA CHOOSING;;;;1
CAROLINAS IMPROVING;;;;1
CASE-BASED INTERACTIVE;;;;1
CASE-STUDY ANALYSIS;;;;1
CATALYZING ADVOCACY;;;ACTIVIST KNOWLEDGES;1
CATCHING FIRE;;;;1
CATHOLIC DIRECTIVES;;;;1
CAUCA REGION;;;;1
CAUTION LARCS;;;LONG-ACTING REVERSIBLE;1
CELEBRATING DIVERSITY;;;;1
CELEBRATION MEETS;;;;1
CELEBRITIES REPRODUCTIVE;;;;1
CEMETERIES REPRODUCTIVE;;;;1
CENTER ACTIVISM;;;ACTIVIST KNOWLEDGES;1
CENTERING BLACK;;;BLACK LIVES;1
CENTERING DISABILITY;;;;1
CENTERING EQUITY;;;EQUITY ADDRESSING;1
CENTERING REPRODUCTION;;;;1
CENTERING REPRODUCTIVE;;;;1
CENTERS MULTI-METHOD;;;;1
CENTERS REVIEWING;;;;1
CENTRE WEBSITES;;;;1
CENTURY AFRICA;;;;1
CENTURY PRESSURE;;;;1
CENTURY USA;;;;1
CERTIFIED NURSE-MIDWIVES;;;;1
CERVICAL-CANCER PREVENTION;;;;1
CHALLENGES ABORTION;;;ABORTION STUDY;1
CHALLENGES ACCESSING;;;;1
CHALLENGES POWER;;;;1
CHALLENGING RACIALIZED;;;BLACK LIVES;1
CHALLENGING SYSTEMS;;;;1
CHANGE CONNECTING;;;;1
CHANGE SOCIOECONOMIC;;;;1
CHANGING DEMOGRAPHICS;;;;1
CHANGING OBSTETRICS;;;;1
CHANGING POLITICS;;;;1
CHARLES MILLSS;;;;1
CHAUCERS WENCHES;;;;1
CHEEKY WITNESSING;;;;1
CHEMICAL GEOGRAPHIES;;;;1
CHEMICAL VALLEY;;;;1
CHICAGO ABORTION;;;ABORTION STUDY;1
CHICANA FEMINISMS;;;CHICANA FEMINISMS;1
CHICANA FEMINIST;;;CHICANA FEMINISMS;1
CHILD CHALLENGING;;;CHILD CHALLENGING;1
CHILD LIST;;;CHILD CHALLENGING;1
CHILD WELFARE;;;CHILD CHALLENGING;1
CHILDBEARING WOMEN;;;;1
CHILDBIRTH ADVOCACY;;;;1
CHILDBIRTH EXPERIENCES;;;;1
CHILDFREE STERILIZATION;;;;1
CHILDHOOD ABUSE;;;CHILD CHALLENGING;1
CHILDHOOD ARRIVALS;;;CHILD CHALLENGING;1
CHILDIST KINSHIP;;;CHILD CHALLENGING;1
CHILDREN ADOPTION;;;ADOPTION BELONGING;1
CHILDREN AGED;;;;1
CHILDREN BEARING;;;CHILD CHALLENGING;1
CHILDREN UNDUE;;;;1
CHINA READING;;;;1
CHINA-MYANMAR BORDER;;;;1
CHINESE AMERICAN;;;;1
CHINESE WOMENS;;;;1
CHOICE IMPLICATIONS;;;CHOICE IMPLICATIONS;1
CHOICE NARRATIVES;;;CHOICE IMPLICATIONS;1
CHOICE PARTNER;;;;1
CHOICE REPRODUCTIVE;;;CHOICE IMPLICATIONS;1
CHOICES LEARNINGS;;;;1
CHOICES REPRODUCTIVE;;;CHOICE IMPLICATIONS;1
CHOOSING CONTRACEPTIVES;;;;1
CHOOSING FOLK;;;;1
CHOOSING UNASSISTED;;;;1
CHOOSING WISELY;;;;1
CHRISTIAN ASSOCIATION;;;;1
CHRISTIAN DISCOURSE;;;;1
CHRISTIAN ETHICS;;;ETHICAL ISSUES;1
CHRISTIAN VISION;;;;1
CHRISTMAS SEXUAL;;;;1
CHRONIC CONDITIONS;;;CHRONIC CONDITIONS;1
CHRONIC ILLNESS;;;CHRONIC CONDITIONS;1
CHURCH FEMINIST;;;;1
CIGUENASI RACE;;;;1
CINCINNATI POST-IROEI;;;;1
CISGENDER WOMEN;;;;1
CITATION NETWORK;;;;1
CITIZENSHIP GAPS;;;;1
CIVIC ENGAGEMENT;;;;1
CLAIMING MOTHERHOOD;;;;1
CLANDESTINITY STRATEGIC;;;;1
CLASS EDUCATED;;;EDUCATION FRAMEWORK;1
CLASSED CONSTRUCTIONS;;;;1
CLASSROOM TEACHING;;;EDUCATION FRAMEWORK;1
CLERGY SEXUAL;;;;1
CLIMATE EMERGENCY;;;CLIMATE CHANGE;1
CLIMATE FRONTLINES;;;CLIMATE CHANGE;1
CLIMATE JUSTICE-EXAMPLES;;;CLIMATE CHANGE;1
CLIMATE POLITICS;;;CLIMATE CHANGE;1
CLINICAL GUIDANCE;;;CLINICAL PRACTICE;1
CLINICAL PRACTICE;;;CLINICAL PRACTICE;1
CLINICAL SHARED;;;CLINICAL PRACTICE;1
CLINICAL TRAINING;;;CLINICAL PRACTICE;1
CLINICIANS PRACTICES;;;CLINICAL PRACTICE;1
CLINICS RETHINKING;;;CLINICAL PRACTICE;1
CLOSING DISPARITIES;;;;1
COAST EXPLORING;;;;1
COAST TRIBE;;;;1
COCA FARMING;;;;1
COERCION LONG-ACTING;;;BIRTH CONTROL;1
COERCION SUPPORTING;;;;1
COHORT DEMOGRAPHICS;;;;1
COHORT STUDY;;;;1
COLLABORATIVE AUTOETHNOGRAPHIC;;;COLLABORATIVE AUTOETHNOGRAPHIC;1
COLLABORATIVE AUTOETHNOGRAPHY;;;COLLABORATIVE AUTOETHNOGRAPHIC;1
COLLECTIVE CARE;;;CARE IMPLICATIONS;1
COLLECTIVE POWER;;;;1
COLLECTIVE SOLIDARITY;;;;1
COLOMBIAN ADOLESCENTS;;;ADDRESSING TEENAGE;1
COLOMBIAN ARMED;;;;1
COLOMBIAN TRUTH;;;;1
COLONIAL HAITI;;;;1
COLONIAL POLICIES;;;;1
COLONIALITY EUGENICS;;;;1
COLONIZATION RESISTANCE;;;;1
COLOR ACTIVISTS;;;ACTIVIST KNOWLEDGES;1
COLOR ASPIRING;;;;1
COLOR CHANGING;;;;1
COLOR ORGANIZATION;;;ACTIVIST KNOWLEDGES;1
COLOR UPROOTING;;;;1
COLORBLINDESS YOUTH;;;ADDRESSING TEENAGE;1
COLORED GIRLS;;;ADDRESSING TEENAGE;1
COLORED PEOPLE;;;BLACK LIVES;1
COMADRISMA MAMAS;;;;1
COMBAT REPRODUCTIVE;;;;1
COMMERCIAL SEXUAL;;;;1
COMMON AGENDA;;;;1
COMMON GROUNDS;;;;1
COMMUNICATION COUNSELING;;;COMMUNICATION STUDIES;1
COMMUNICATION EDUCATION;;;COMMUNICATION STUDIES;1
COMMUNICATION METHODS;;;COMMUNICATION STUDIES;1
COMMUNICATION PEDAGOGY;;;COMMUNICATION STUDIES;1
COMMUNICATION STRATEGY;;;COMMUNICATION STUDIES;1
COMMUNICATION STUDIES;;;COMMUNICATION STUDIES;1
COMMUNITY DEVELOPMENT;;;;1
COMMUNITY IMPACTED;;;;1
COMMUNITY IUSING;;;;1
COMMUNITY OUTCOMES;;;;1
COMMUNITY PROPERTY;;;;1
COMMUNITY RESISTANCE;;;;1
COMMUNITY-BASED ORGANIZATIONAL;;;;1
COMMUNITY-BASED PARTICIPATORY;;;;1
COMMUNITY-BASED RESEARCH;;;;1
COMMUNITY-ENGAGED CURRICULUM;;;;1
COMMUNITY-INFORMED MODELS;;;;1
COMMUNITY-LED MEDIA;;;;1
COMMUNITY-LED MEDICATION;;;;1
COMMUNITY-LED RESEARCH;;;;1
COMPANION PROGRAM;;;;1
COMPARATIVE ANALYSIS;;;;1
COMPARATIVE EFFECTIVENESS;;;;1
COMPARATIVE SITUATIONAL;;;;1
COMPASSION EMOTION;;;;1
COMPASSION FEMALE;;;;1
COMPENSATED SURROGACY;;;;1
COMPETENT CONTRACEPTIVE;;;;1
COMPLEX INTERPLAY;;;;1
COMPLEX INTERSECTIONS;;;;1
COMPLICATED BIRTH;;;;1
COMPLICATING CARE;;;CARE IMPLICATIONS;1
COMPOUND COMMUNITY;;;;1
COMPREHENSIVE ABORTION;;;ABORTION STUDY;1
COMPREHENSIVE SEX;;;COMPREHENSIVE SEX;1
COMPREHENSIVE SEXUAL;;;COMPREHENSIVE SEX;1
COMPREHENSIVE SEXUALITY;;;COMPREHENSIVE SEX;1
COMPROMISING JUSTICE;;;;1
COMPULSORY STERILIZATION;;;BIRTH CONTROL;1
COMRADELY POLITICS;;;;1
CON VISIÓN;CARACTER ESPECIAL;;;1
CONCEPTION INTERVENTIONS;;;;1
CONCEPTUAL ANATOMY;;;;1
CONCEPTUAL ORIENTATIONS;;;;1
CONCEPTUALIZING ABORTION;;;ABORTION STUDY;1
CONCERNS REPRODUCTIVE;;;;1
CONCLUSION-MEDICAL THEATER;;;ART-BASED APPROACH;1
CONDITIONAL AGENCY;;;;1
CONFLICTING KINSHIP;;;;1
CONFRONTING REPRODUCTIVE;;;;1
CONGOLESE REFUGEE;;;;1
CONNECTING GENDERED;;;;1
CONNECTING POLICE;;;;1
CONSENSUAL SEXUAL;;;;1
CONSENT WOMENS;;;;1
CONSEQUENCE AUGUST;;;;1
CONSEQUENCES RESULTING;;;;1
CONSERVATIVE LAESTADIANS;;;;1
CONSIDERED SUICIDEWHEN;;;;1
CONSORTIUM INITIATIVE;;;;1
CONTAMINATED SITE;;;ENVIRONMENTAL JUSTICE;1
CONTAMINATION TOXIC;;;ENVIRONMENTAL JUSTICE;1
CONTEMPORARY BLACK;;;;1
CONTEMPORARY DISCOURSES;;;;1
CONTEMPORARY JAPANESE;;;;1
CONTEMPORARY SEXUAL;;;;1
CONTEMPORARY SEXUALITY;;;;1
CONTEMPORARY SPANISH;;;;1
CONTEMPORARY STERILISATIONS;;;;1
CONTENT ANALYSIS;;;;1
CONTESTED WOMANHOOD;;;;1
CONTEXT SOUTH;;;;1
CONTEXTO BRASILEIRO;;;;1
CONTEXTUAL APPROACH;;;;1
CONTEXTUALIZE INDIGENOUS;;;;1
CONTINUING HARMS;;;;1
CONTINUOUS REPRODUCTIVE;;;;1
CONTRACEPTION APPLIED;;;CONTRACEPTION CARE;1
CONTRACEPTION CARE;;;CONTRACEPTION CARE;1
CONTRACEPTION COUNSELING;;;CONTRACEPTION CARE;1
CONTRACEPTION DESERTS;;;CONTRACEPTION CARE;1
CONTRACEPTION ENSURING;;;CONTRACEPTION CARE;1
CONTRACEPTION ETHICAL;;;ETHICAL ISSUES;1
CONTRACEPTION HORMONAL;;;CONTRACEPTION CARE;1
CONTRACEPTION ICARE;;;CONTRACEPTION CARE;1
CONTRACEPTION OPTIONS;;;CONTRACEPTION CARE;1
CONTRACEPTION PROGRAMS;;;CONTRACEPTION CARE;1
CONTRACEPTION PROMOTION;;;CONTRACEPTION CARE;1
CONTRACEPTION RATES;;;CONTRACEPTION CARE;1
CONTRACEPTION SERVICES;;;CONTRACEPTION CARE;1
CONTRACEPTION TARGETING;;;CONTRACEPTION CARE;1
CONTRACEPTION UTILIZATION;;;CONTRACEPTION CARE;1
CONTRACEPTIVE CHOICES;;;CONTRACEPTION CARE;1
CONTRACEPTIVE COVERAGE;;;CONTRACEPTION CARE;1
CONTRACEPTIVE DRUG;;;CONTRACEPTION CARE;1
CONTRACEPTIVE EXPERIENCE;;;CONTRACEPTION CARE;1
CONTRACEPTIVE EXPERIENCES;;;CONTRACEPTION CARE;1
CONTRACEPTIVE PILL;;;CONTRACEPTION CARE;1
CONTRACEPTIVE PRESSURE;;;CONTRACEPTION CARE;1
CONTRACEPTIVE RISK;;;CONTRACEPTION CARE;1
CONTRACEPTIVE SELECTION;;;CONTRACEPTION CARE;1
CONTRACEPTIVE SERVICES;;;CONTRACEPTION CARE;1
CONTRACEPTIVE TECHNOLOGIES;;;CONTRACEPTION CARE;1
CONTRADICT MEDICAL;;;;1
CONTROL BAN;;;;1
CONTROL MAKES;;;;1
CONTROL REPRODUCTIVE;;;;1
CONTROLLING IMAGES;;;;1
CONTROLLING REPRODUCTION;;;BIRTH CONTROL;1
CONTROVERSIES RIGHTS;;;;1
CONVERGING ENVIRONMENTAL;;;ENVIRONMENTAL JUSTICE;1
CONVIVIALITIES BRAZILIAN;;;;1
CO--OPTING REPRODUCTIVE;;;;1
CO-PRODUCED GESTATION;;;;1
CORE COMPETENCIES;;;;1
CORNER REPRODUCTIVE;;;;1
COSTA RICA;;;;1
COUNSELING ADOLESCENTS;;;ADDRESSING TEENAGE;1
COUNSELING SHARED;;;;1
COUNSELING TRAINING;;;;1
COUNSELING WHATS;;;;1
COUNSELLING CONTROVERSIES;;;;1
COUNSELOR BIAS;;;;1
COUNTER NARRATIVES;;;;1
COUNTER THEORY-BASED;;;;1
COUNTER-HEGEMONIC REPRODUCTIVE;;;;1
COUNTERING CONTEMPORARY;;;;1
COUNTERING RENEWED;;;;1
COUNTING LIFE;;;;1
COUNTRIES LMICS;;;;1
COUNTRY EXAMINING;;;;1
COUPLES DESIRING;;;;1
COURAGE BIOETHICS;;;ETHICAL ISSUES;1
COURT DATA;;;;1
COURT DOBBS;;;;1
COURTS PUBLIC;;;;1
COV ID-;;;COVID- PANDEMIC;1
COVERAGE GAP;;;HEALTH CARE;1
COVID ADDRESSED;;;COVID- PANDEMIC;1
COVID- PANDEMICS;;;COVID- PANDEMIC;1
CRÍTICA EM;CARACTER ESPECIAL;;;1
CRAIG ERA;;;;1
CREAR-PERRY COLLABORATING;;;;1
CREATING RESPONSE-ABLE;;;;1
CREOLE CHRISTMAS;;;;1
CRIMINAL DEFENSE;;;CRIMINAL JUSTICE;1
CRIMINAL JUSTICE;;;CRIMINAL JUSTICE;1
CRIMINAL LAW;;;CRIMINAL JUSTICE;1
CRIMINALISATION ABORTION;;;ABORTION STUDY;1
CRIMINALIZATION ABORTION;;;ABORTION STUDY;1
CRIMINALIZE PARENTING;;;;1
CRIMINALIZED LATINA;;;;1
CRIMINOLOGY IM;;;CRIMINAL JUSTICE;1
CRIP PERSPECTIVES;;;;1
CRISPR ENTERS;;;;1
CRISTIAN MUNGIUS;;;;1
CRITICAL COMMUNICATION;;;COMMUNICATION STUDIES;1
CRITICAL EDUCATION;;;EDUCATION FRAMEWORK;1
CRITICAL HEALTH;;;HEALTH ISSUE;1
CRITICAL INTERPRETATIVE;;;;1
CRITICAL LITERACIES;;;;1
CRITICAL PSYCHOLOGY;;;;1
CRITICAL RACE;;;;1
CRITICAL REFLECTION;;;;1
