"SR";"TI";"TI_TM"
"COOK RJ, 2009, Int. J. Gynecol. Obstet.";"FROM REPRODUCTIVE CHOICE TO REPRODUCTIVE JUSTICE";"REPRODUCTIVE CHOICE;REPRODUCTIVE JUSTICE"
"COOK RJ, 2014, Abort. LAW Transnatl. Perspect. CASES Controv.";"ABORTION LAW IN TRANSNATIONAL PERSPECTIVE: CASES AND CONTROVERSIES";"ABORTION LAW;TRANSNATIONAL PERSPECTIVE"
"COOPER HLF, 2023, AM J PUBLIC HEALTH";"OVERDOSES, REPRODUCTIVE JUSTICE, AND HARM REDUCTION";"OVERDOSES REPRODUCTIVE;REPRODUCTIVE JUSTICE;HARM REDUCTION"
"COOPER T, 2016, FEM THEOL";"RACE, CLASS, AND ABORTION: HOW LIBERATION THEOLOGY ENHANCES THE DEMAND FOR REPRODUCTIVE JUSTICE";"RACE CLASS;LIBERATION THEOLOGY;THEOLOGY ENHANCES;REPRODUCTIVE JUSTICE"
"CORPUZ JS, 2022, JNP-J NURSE PRACT";"EMPOWERING THE NURSE PRACTITIONER WITH THE REPRODUCTIVE JUSTICE FRAMEWORK";"NURSE PRACTITIONER;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"COUMANS SV, 2017, Gend. Dev. Soc. Chang.";"AN INTERGENERATIONAL TRIALOGUE ON GLOBAL BODY POLITICS";"INTERGENERATIONAL TRIALOGUE;GLOBAL BODY;BODY POLITICS"
"CRAGUN RT, 2017, MEN MASC";"LOSING MANHOOD LIKE A MAN: A COLLABORATIVE AUTOETHNOGRAPHIC EXAMINATION OF MASCULINITIES AND THE EXPERIENCE OF A VASECTOMY";"LOSING MANHOOD;COLLABORATIVE AUTOETHNOGRAPHIC;AUTOETHNOGRAPHIC EXAMINATION"
"CRAIG LP, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"“I’LL NEVER BE READY!”: APPLYING A REPRODUCTIVE JUSTICE LENS IN THE LOWER-DIVISION LITERATURE CLASSROOM";"READY APPLYING;REPRODUCTIVE JUSTICE;JUSTICE LENS;LOWER-DIVISION LITERATURE;LITERATURE CLASSROOM"
"CRAM E, 2024, Q J SPEECH";"FASCIST ENERGIZING: RHETORICS OF TRANSANTAGONISM AS AFFECTIVE METABOLISM";"FASCIST ENERGIZING;ENERGIZING RHETORICS;AFFECTIVE METABOLISM"
"CRAM E, 2024, Q J SPEECH-a";"WE ARE FUTURE ANCESTORS: ON AUTHORITARIAN POLITICS AND THE DEEPENING OF OUR RADICAL ROOTS";"FUTURE ANCESTORS;AUTHORITARIAN POLITICS;RADICAL ROOTS"
"CRAWFORD AD, 2022, BMC PUBLIC HEALTH";"``I DID WHATEVER THEY WANTED ME TO DO'': A QUALITATIVE SECONDARY ANALYSIS USING REPRODUCTIVE JUSTICE TO EXPLORE SEXUAL VIOLENCE AMONG JUSTICE-INVOLVED LATINA MOTHERS";"QUALITATIVE SECONDARY;SECONDARY ANALYSIS;REPRODUCTIVE JUSTICE;EXPLORE SEXUAL;SEXUAL VIOLENCE;JUSTICE-INVOLVED LATINA;LATINA MOTHERS"
"CRAWFORD AD, 2022, PUBLIC HEALTH NURS";"SYSTEMIC INEQUITIES AND DEPRESSIVE SYMPTOMOLOGY IN HISPANIC MOTHERS: A PATH ANALYSIS MODEL";"SYSTEMIC INEQUITIES;DEPRESSIVE SYMPTOMOLOGY;HISPANIC MOTHERS;PATH ANALYSIS;ANALYSIS MODEL"
"CRAWFORD AD, 2022, WOMENS HEALTH REPORTS";"STIGMATIZATION OF PREGNANT INDIVIDUALS WITH OPIOID USE DISORDER";"PREGNANT INDIVIDUALS"
"CRAWFORD AD, 2023, J AGGRESS MALTREATMENT TRAUMA";"``<I>WE'RE STILL HUMAN</I>'': A REPRODUCTIVE JUSTICE ANALYSIS OF THE EXPERIENCES OF CRIMINALIZED LATINA MOTHERS";"REPRODUCTIVE JUSTICE;JUSTICE ANALYSIS;CRIMINALIZED LATINA;LATINA MOTHERS"
"CRAWFORD AD, 2023, J TRANSCULT NURS";"WHAT IS KNOWN ABOUT REPRODUCTIVE AUTONOMY AMONG JUSTICE-INVOLVED BLACK WOMEN?: A SCOPING REVIEW";"REPRODUCTIVE AUTONOMY;JUSTICE-INVOLVED BLACK;BLACK WOMEN;SCOPING REVIEW"
"CREAR-PERRY J, 2022, JAMA-J AM MED ASSOC";"ADVANCING BIRTH EQUITY IN A POST-DOBBS US";"ADVANCING BIRTH;BIRTH EQUITY"
"CREAR-PERRY J, 2023, BIRTHING JUSTICE: Black Women Pregnancy CHILDBIRTH: Second. Ed.";"EXPANDING A TRANSNATIONAL MOVEMENT FOR SEXUAL AND REPRODUCTIVE WELLBEING";"TRANSNATIONAL MOVEMENT;REPRODUCTIVE WELLBEING"
"CRESPO FA, 2024, J PEDIATR ADOLESC GYNECOL";"ADDRESSING TEENAGE PREGNANCY AND REPRODUCTIVE HEALTH AMONG LATINX ADOLESCENTS AND YOUNG ADULTS";"ADDRESSING TEENAGE;TEENAGE PREGNANCY;REPRODUCTIVE HEALTH;LATINX ADOLESCENTS"
"CRITCHLEY A, 2023, AOTEAROA N Z SOC WORK";"PRE-BIRTH CHILD PROTECTION AND THE REPRODUCTIVE RIGHTS OF FATHERS";"PRE-BIRTH CHILD;CHILD PROTECTION;REPRODUCTIVE RIGHTS"
"CROZIER-DE ROSA S, 2024, IR STUD REV";"``SHE IS FINALLY HOME'': FEMINIST STORYTELLING, FAMILY IMAGINARIES AND TRANSNATIONAL SOLIDARITY IN IRISH ABORTION ACTIVISM";"FINALLY HOME;HOME FEMINIST;FEMINIST STORYTELLING;STORYTELLING FAMILY;FAMILY IMAGINARIES;TRANSNATIONAL SOLIDARITY;IRISH ABORTION;ABORTION ACTIVISM"
"CULHANE L, 2016, Abort. Pap. IRELAND: Vol. 2";"REPRODUCTIVE JUSTICE AND THE IRISH CONTEXT: TOWARDS AN EGALITARIAN FRAMING OF ABORTION";"REPRODUCTIVE JUSTICE;IRISH CONTEXT;EGALITARIAN FRAMING"
"CURRY AM, 2024, GAMES CULT";"BRIDGE BABIES AND REBUILDING AMERICA: REPRODUCTIVE COMMODIFICATION IN <I>DEATH STRANDING</I>";"BRIDGE BABIES;REBUILDING AMERICA;AMERICA REPRODUCTIVE;REPRODUCTIVE COMMODIFICATION;IDEATH STRANDINGI"
"CUSANNO BR, 2023, HEALTH COMMUN";"``WHAT DO YOU DO IF THEY SAY `NO'?'': AGENCY, MATERIALITY, AND JUSTICE IN PELVIC EXAMS";"AGENCY MATERIALITY;PELVIC EXAMS"
"DAHL CM, 2024, AM J OBSTET GYNECOL";"STRATEGIES FOR OBSTETRICIANS AND GYNECOLOGISTS TO ADVANCE REPRODUCTIVE AUTONOMY IN A POST-ROE LANDSCAPE";"ADVANCE REPRODUCTIVE;REPRODUCTIVE AUTONOMY;POST-ROE LANDSCAPE"
"DAHL CM, 2024, AMER J OBSTET GYNECOL MFM";"PREGNANCY PLANNING, PREVENTION, AND RISK EVALUATION CLINICS: RETHINKING THE TRADITIONAL PRECONCEPTION CONSULT";"PREGNANCY PLANNING;PLANNING PREVENTION;RISK EVALUATION;EVALUATION CLINICS;CLINICS RETHINKING;TRADITIONAL PRECONCEPTION;PRECONCEPTION CONSULT"
"DANIEL C, 2022, FRONTIERS-J WOMEN STUD";"COMPROMISING JUSTICE: REPRODUCTIVE RIGHTS ADVOCACY IN THE TIME OF TRUMP";"COMPROMISING JUSTICE;JUSTICE REPRODUCTIVE;REPRODUCTIVE RIGHTS;RIGHTS ADVOCACY"
"DANIEL C, 2023, J. High. Educ. Outreach Engagem.";"BUILDING EQUITABLE PARTNERSHIPS AND A SOCIAL JUSTICE MINDSET THROUGH A DONOR-FUNDED REPRODUCTIVE RIGHTS AND HEALTH INTERNSHIP PROGRAM";"BUILDING EQUITABLE;EQUITABLE PARTNERSHIPS;SOCIAL JUSTICE;JUSTICE MINDSET;DONOR-FUNDED REPRODUCTIVE;REPRODUCTIVE RIGHTS;HEALTH INTERNSHIP;INTERNSHIP PROGRAM"
"DANIEL C, 2024, SOC SCI-BASEL";"THE POLITICS OF PROBLEM DEFINITION: ABORTION POLICY IN REPUBLICAN-CONTROLLED LOUISIANA";"DEFINITION ABORTION;ABORTION POLICY;REPUBLICAN-CONTROLLED LOUISIANA"
"DANIEL M, 2020, MOBILIZATION";"LEADERSHIP SUCCESSION IN INTERSECTIONAL MOBILIZATION: AN ANALYSIS OF THE CHICAGO ABORTION FUND, 1985-2015";"LEADERSHIP SUCCESSION;INTERSECTIONAL MOBILIZATION;CHICAGO ABORTION;ABORTION FUND"
"DANIEL M, 2021, SOCIOL COMPASS";"THE SOCIAL MOVEMENT FOR REPRODUCTIVE JUSTICE: EMERGENCE, INTERSECTIONAL STRATEGIES, AND THEORY BUILDING";"SOCIAL MOVEMENT;REPRODUCTIVE JUSTICE;JUSTICE EMERGENCE;EMERGENCE INTERSECTIONAL;INTERSECTIONAL STRATEGIES;THEORY BUILDING"
"DARLING MJT, 2008, Women Biotechnol. Creat. INTERFACES";"GENDER AND JUSTICE IN THE GENE AGE: THE CHALLENGES PRESENTED BY REPRODUCTIVE AND GENETIC BIOTECHNOLOGIES";"GENE AGE;GENETIC BIOTECHNOLOGIES"
"DARROCH F, 2021, FAM COURT REV";"ESTABLISHING IDENTITY: HOW DIRECT-TO-CONSUMER GENETIC TESTING CHALLENGES THE ASSUMPTION OF DONOR ANONYMITY";"ESTABLISHING IDENTITY;DIRECT-TO-CONSUMER GENETIC;GENETIC TESTING;TESTING CHALLENGES;DONOR ANONYMITY"
"DAVIS A, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"WRITING AND BIRTHING ON COUNTRY: EXAMINING INDIGENOUS AUSTRALIAN BIRTH STORIES FROM A REPRODUCTIVE JUSTICE LENS";"COUNTRY EXAMINING;EXAMINING INDIGENOUS;INDIGENOUS AUSTRALIAN;AUSTRALIAN BIRTH;BIRTH STORIES;REPRODUCTIVE JUSTICE;JUSTICE LENS"
"DAVIS DA, 2009, TRANSFORM ANTHROPOL";"THE POLITICS OF REPRODUCTION: THE TROUBLING CASE OF NADYA SULEMAN AND ASSISTED REPRODUCTIVE TECHNOLOGY";"NADYA SULEMAN;ASSISTED REPRODUCTIVE;REPRODUCTIVE TECHNOLOGY"
"DAVIS E, 2024, J AM PHILOS ASSOC";"PROCREATIVE JUSTICE RECONCEIVED";"PROCREATIVE JUSTICE;JUSTICE RECONCEIVED"
"DAY E, 2023, IN HER HANDS: WOMEN'S Fight. Against AIDS U. S.";"IN HER HANDS: WOMEN'S FIGHT AGAINST AIDS IN THE UNITED STATES";"HANDS WOMENS;WOMENS FIGHT"
"DE BACKER K, 2024, BIRTH-ISSUE PERINAT CARE";"SEPARATION AT BIRTH DUE TO SAFEGUARDING CONCERNS: USING REPRODUCTIVE JUSTICE THEORY TO RE-THINK THE ROLE OF MIDWIVES";"BIRTH DUE;SAFEGUARDING CONCERNS;REPRODUCTIVE JUSTICE;JUSTICE THEORY"
"DE BÚRCA G, 2021, REFRAMING Hum. RIGHTS Turbul. ERA";"REFRAMING HUMAN RIGHTS IN A TURBULENT ERA";"REFRAMING HUMAN;HUMAN RIGHTS;TURBULENT ERA"
"DE CLERCQ E, 2023, MED HEALTH CARE PHILOS";"RETHINKING ADVANCED MOTHERHOOD: A NEW ETHICAL NARRATIVE";"RETHINKING ADVANCED;ADVANCED MOTHERHOOD;ETHICAL NARRATIVE"
"DE LA ROCHA P, 2022, ETHN DIS";"A QUALITATIVE ANALYSIS ON SEXUAL AND REPRODUCTIVE HEALTH NEEDS AND ISSUES DURING COVID-19 USING A REPRODUCTIVE JUSTICE FRAMEWORK";"QUALITATIVE ANALYSIS;REPRODUCTIVE HEALTH;REPRODUCTIVE JUSTICE;JUSTICE FRAMEWORK"
"DE LONDRAS F, 2020, FEM REV";"`A HOPE RAISED AND THEN DEFEATED'? THE CONTINUING HARMS OF IRISH ABORTION LAW";"HOPE RAISED;CONTINUING HARMS;IRISH ABORTION;ABORTION LAW"
"DE ONIS CM, 2020, ROUTLEDGE COMPANION TO MOTHERHOOD";"REPRODUCTIVE JUSTICE AS ENVIRONMENTAL JUSTICE CONTEXTS, COALITIONS, AND CAUTIONS";"REPRODUCTIVE JUSTICE;ENVIRONMENTAL JUSTICE;JUSTICE CONTEXTS;CONTEXTS COALITIONS"
"DE ONIS KM, 2012, ENVIRON COMMUN";"``LOOKING BOTH WAYS'': METAPHOR AND THE RHETORICAL ALIGNMENT OF INTERSECTIONAL CLIMATE JUSTICE AND REPRODUCTIVE JUSTICE CONCERNS";"RHETORICAL ALIGNMENT;INTERSECTIONAL CLIMATE;CLIMATE JUSTICE;REPRODUCTIVE JUSTICE;JUSTICE CONCERNS"
"DE ONIS KM, 2015, WOMEN STUD COMMUN";"LOST IN TRANSLATION: CHALLENGING WHITE, MONOLINGUAL FEMINISM'S) \&LT;CHOICE\&GT; WITH <I>JUSTICIA REPRODUCTIVA</I>";"TRANSLATION CHALLENGING;CHALLENGING WHITE;WHITE MONOLINGUAL;MONOLINGUAL FEMINISMS;FEMINISMS LTCHOICE;LTCHOICE GT;IJUSTICIA REPRODUCTIVAI"
"DE ONIS KM, 2019, ROUTLEDGE HANDBOOK OF CONTEMPORARY FEMINISM";"LOST IN TRANSLATION CHALLENGING (WHITE, MONOLINGUAL FEMINISM'S) \&LT;CHOICE\&GT; WITH <I>JUSTICIA REPRODUCTIVA</I>";"TRANSLATION CHALLENGING;CHALLENGING WHITE;WHITE MONOLINGUAL;MONOLINGUAL FEMINISMS;FEMINISMS LTCHOICE;LTCHOICE GT;IJUSTICIA REPRODUCTIVAI"
"DE ONÍS CM, 2019, ROUTLEDGE Companion Mother.";"REPRODUCTIVE JUSTICE AS ENVIRONMENTAL JUSTICE: CONTEXTS, COALITIONS, AND CAUTIONS";"REPRODUCTIVE JUSTICE;ENVIRONMENTAL JUSTICE;JUSTICE CONTEXTS;CONTEXTS COALITIONS"
"DE ONÍS KM, 2018, ROUTLEDGE Handb. Contemp. Fem.";"LOST IN TRANSLATION: CHALLENGING (WHITE, MONOLINGUAL FEMINISM'S) <CHOICE> WITH JUSTICIA REPRODUCTIVA";"TRANSLATION CHALLENGING;CHALLENGING WHITE;WHITE MONOLINGUAL;MONOLINGUAL FEMINISMS;FEMINISMS CHOICE;JUSTICIA REPRODUCTIVA"
"DE RUITERS E, 2021, AGENDA-EMPOWER WOMEN GEND EQUITY";"BLEED, KILL, CUT, KIN: UTERINE VIOLENCE, BODY-TALK, AND FEMINIST SUBJECTIVITIES";"BLEED KILL;KILL CUT;CUT KIN;KIN UTERINE;UTERINE VIOLENCE;VIOLENCE BODY-TALK;FEMINIST SUBJECTIVITIES"
"DE ZORDO S, 2023, SOC SCI MED";"?THE FIRST DIFFICULTY IS TIME?: THE IMPACT OF GESTATIONAL AGE LIMITS ON REPRODUCTIVE HEALTH AND JUSTICE IN THE CONTEXT OF CROSS-BORDER TRAVEL FOR ABORTION CARE IN EUROPE";"GESTATIONAL AGE;AGE LIMITS;REPRODUCTIVE HEALTH;CROSS-BORDER TRAVEL;ABORTION CARE"
"DEEB-SOSSA N, 2014, LAT STUD";"BARRIERS TO ABORTION FACING MEXICAN IMMIGRANTS IN NORTH CAROLINA: CHOOSING FOLK HEALERS VERSUS STANDARD MEDICAL OPTIONS";"ABORTION FACING;FACING MEXICAN;MEXICAN IMMIGRANTS;NORTH CAROLINA;CAROLINA CHOOSING;CHOOSING FOLK;FOLK HEALERS;HEALERS VERSUS;VERSUS STANDARD;STANDARD MEDICAL;MEDICAL OPTIONS"
"DEHLENDORF C, 2021, OBSTET GYNECOL";"EVOLVING THE PRECONCEPTION HEALTH FRAMEWORK <I>A CALL FOR REPRODUCTIVE AND SEXUAL HEALTH EQUITY</I>";"PRECONCEPTION HEALTH;HEALTH FRAMEWORK;FRAMEWORK IA;IA CALL;SEXUAL HEALTH;HEALTH EQUITYI"
"DELAP N, 2023, BMJ-BRITISH MEDICAL JOURNAL";"WHY THE COST OF LIVING CRISIS IS A REPRODUCTIVE JUSTICE MATTER";"LIVING CRISIS;REPRODUCTIVE JUSTICE;JUSTICE MATTER"
"DELAP N, 2024, BMJ-BRITISH MEDICAL JOURNAL";"THE CLIMATE EMERGENCY IS A MATTER OF REPRODUCTIVE JUSTICE";"CLIMATE EMERGENCY;REPRODUCTIVE JUSTICE"
"DELAY C, 2019, Adv. Med. Sociol.";"THE LEGACY OF SYMPHYSIOTOMY IN IRELAND: A REPRODUCTIVE JUSTICE APPROACH TO OBSTETRIC VIOLENCE";"REPRODUCTIVE JUSTICE;JUSTICE APPROACH;OBSTETRIC VIOLENCE"
"DELAY C, 2021, EIRE-IREL";"EDITORS' INTRODUCTION: WOMEN'S HEALTH AND REPRODUCTIVE JUSTICE IN IRELAND";"EDITORS INTRODUCTION;INTRODUCTION WOMENS;WOMENS HEALTH;REPRODUCTIVE JUSTICE"
"DELGADO-RON JA, 2023, MATERN CHILD HEALTH J";"UNWANTED OR MISTIMED PREGNANCY AND DEVELOPMENTAL ISSUES IN ECUADORIAN CHILDREN AGED 3 TO 5: A DOUBLY ROBUST ESTIMATE USING DATA FROM THE NATIONAL HEALTH AND NUTRITION SURVEY 2018";"MISTIMED PREGNANCY;DEVELOPMENTAL ISSUES;ECUADORIAN CHILDREN;CHILDREN AGED;DOUBLY ROBUST;ROBUST ESTIMATE;NATIONAL HEALTH;NUTRITION SURVEY"
"DELISLE GP, 2022, PALGRAVE Handb. Reprod. Justice Lit.";"FEMALE NARRATIVES OF ABORTION IN ITALIAN LITERATURE FROM THE 1970S TO THE PRESENT";"FEMALE NARRATIVES;ITALIAN LITERATURE"
"DENBOW J, 2023, SIGNS";"SHARED FUTURES OR FINANCIALIZED FUTURES: POLYGENIC SCREENING, REPRODUCTIVE JUSTICE, AND THE RADICAL CHARGE OF COLLECTIVE CARE";"SHARED FUTURES;FINANCIALIZED FUTURES;FUTURES POLYGENIC;POLYGENIC SCREENING;SCREENING REPRODUCTIVE;REPRODUCTIVE JUSTICE;RADICAL CHARGE;COLLECTIVE CARE"
"DENES A, 2024, J SEX RES";"LGBTQI SEXUAL WELL-BEING AND EMBODIMENT AFTER CANCER: A MIXED-METHODS STUDY";"LGBTQI SEXUAL;SEXUAL WELL-BEING;MIXED-METHODS STUDY"
"DI CHIRO G, 2008, ENVIRON POLIT";"LIVING ENVIRONMENTALISMS: COALITION POLITICS, SOCIAL REPRODUCTION, AND ENVIRONMENTAL JUSTICE";"LIVING ENVIRONMENTALISMS;ENVIRONMENTALISMS COALITION;COALITION POLITICS;POLITICS SOCIAL;SOCIAL REPRODUCTION;ENVIRONMENTAL JUSTICE"
"DI CHIRO G, 2013, ASTROLABIO-NUEVA EPOCA";"LIVING ENVIRONMENTALISMS: COALITION POLITICS, SOCIAL REPRODUCTION AND ENVIRONMENTAL JUSTICE";"LIVING ENVIRONMENTALISMS;ENVIRONMENTALISMS COALITION;COALITION POLITICS;POLITICS SOCIAL;SOCIAL REPRODUCTION;ENVIRONMENTAL JUSTICE"
"DIAMOND-BROWN LA, 2019, Adv. Med. Sociol.";"WOMEN'S MOTIVATIONS FOR “CHOOSING” UNASSISTED CHILDBIRTH: A COMPROMISE OF IDEALS AND STRUCTURAL BARRIERS";"WOMENS MOTIVATIONS;CHOOSING UNASSISTED;UNASSISTED CHILDBIRTH;STRUCTURAL BARRIERS"
"DIAZ-TELLO F, 2024, S ATL Q";"FROM HARM REDUCTION TO REPRODUCTIVE JUSTICE: LAWYERING IN THE POST-<I> DOBBS</I> LANDSCAPE";"HARM REDUCTION;REPRODUCTIVE JUSTICE;JUSTICE LAWYERING;POST-I DOBBSI;DOBBSI LANDSCAPE"
"DIERICKX S, 2021, AM J TROP MED HYG";"THE NAIROBI SUMMIT AND REPRODUCTIVE JUSTICE: UNMET NEEDS FOR PEOPLE WITH INFERTILITY";"NAIROBI SUMMIT;REPRODUCTIVE JUSTICE;JUSTICE UNMET"
"DIETZ E, 2022, Disabil. Bioeth. Read.";"ABORTION, DISABILITY RIGHTS, AND REPRODUCTIVE JUSTICE";"ABORTION DISABILITY;DISABILITY RIGHTS;REPRODUCTIVE JUSTICE"
"DILLARD N, 2023, COMMUNITY WORK FAM";"BEYOND THE WOMB: A MOSAIC OF ORGANIZATIONAL ADVOCACY FOR REPRODUCTIVE JUSTICE";"ORGANIZATIONAL ADVOCACY;REPRODUCTIVE JUSTICE"
"DINIZ D, 2021, INT J GYNECOL OBSTET";"TELEMEDICINE ABORTION: A CHANNEL TO BRAZILIAN WOMEN";"TELEMEDICINE ABORTION;BRAZILIAN WOMEN"
"DOERR E, 2015, RELIG HUMANISM";"... AND A REQUEST FROM A REGULAR CONTRIBUTOR";"REGULAR CONTRIBUTOR"
"DOLL KMM, 2023, OBSTET GYNECOL";"ENDOMETRIAL CANCER AND REPRODUCTIVE JUSTICE";"ENDOMETRIAL CANCER;REPRODUCTIVE JUSTICE"
"DONCHIN A, 2011, BIOETHICS";"IN WHOSE INTEREST? POLICY AND POLITICS IN ASSISTED REPRODUCTION";"ASSISTED REPRODUCTION"
"DORIA CM, 2024, WOMEN'S Reprod. Health";"EXPLORING CONTRACEPTIVE EXPERIENCES OF ABORTION-FUND CLIENTS IN THE ROCKY MOUNTAIN REGION OF THE UNITED STATES FROM A REPRODUCTIVE JUSTICE LENS";"EXPLORING CONTRACEPTIVE;CONTRACEPTIVE EXPERIENCES;ABORTION-FUND CLIENTS;ROCKY MOUNTAIN;MOUNTAIN REGION;REPRODUCTIVE JUSTICE;JUSTICE LENS"
"DORIA CMM, 2024, J ETHN CULT DIVERSITY SOC WORK";"AN INTEGRATED APPROACH TO UNDERSTANDING BARRIERS AND SUPPORTS FOR BREASTFEEDING AMONG INDIGENOUS WOMEN IN THE GULF COAST";"INTEGRATED APPROACH;UNDERSTANDING BARRIERS;INDIGENOUS WOMEN;GULF COAST"
"DOSSETT EC, 2023, ARCH WOMENS MENT HEALTH";"REPRODUCTIVE PSYCHIATRIC ADVANCE DIRECTIVES: PROMOTING AUTONOMY FOR PERINATAL PEOPLE WITH SERIOUS MENTAL ILLNESS DIAGNOSES";"REPRODUCTIVE PSYCHIATRIC;PSYCHIATRIC ADVANCE;ADVANCE DIRECTIVES;DIRECTIVES PROMOTING;PROMOTING AUTONOMY;PERINATAL PEOPLE;MENTAL ILLNESS;ILLNESS DIAGNOSES"
"DOSSETT EC, 2024, HEALTH AFF";"PERINATAL MENTAL HEALTH: THE NEED FOR BROADER UNDERSTANDING AND POLICIES THAT MEET THE CHALLENGES";"PERINATAL MENTAL;MENTAL HEALTH;BROADER UNDERSTANDING"
"DOW K, 2020, ENVIRON HUMANIT";"SITUATED KINMAKING AND THE POPULATION ``PROBLEM''";"SITUATED KINMAKING"
"DOW K, 2021, MED ANTHROPOL Q";"BLOODY MARVELS: IN SITU SEED SAVING AND INTERGENERATIONAL MALLEABILITY";"BLOODY MARVELS;SITU SEED;SEED SAVING;INTERGENERATIONAL MALLEABILITY"
"DOW K, 2023, Companion Anthropol. Reprod. Med. Technol.";"TOWARD ENVIRONMENTAL REPRODUCTIVE JUSTICE";"ENVIRONMENTAL REPRODUCTIVE;REPRODUCTIVE JUSTICE"
"DOWNING SG, 2023, Q J SPEECH";"TOWARD REPRODUCTIVE JUSTICE RHETORICS OF CARE: STATE SENATOR JEN JORDAN'S DISSENT OF GEORGIA'S HEARTBEAT BILL";"REPRODUCTIVE JUSTICE;JUSTICE RHETORICS;SENATOR JEN;JEN JORDANS;JORDANS DISSENT;GEORGIAS HEARTBEAT;HEARTBEAT BILL"
"DOZIER JL, 2024, PERSPECT SEX REPROD HEALTH";"``MAYBE IF WE WEREN'T IN THE PANDEMIC, I WOULD HAVE RECONSIDERED'': EXPERIENCES OF ABORTION CARE-SEEKING DURING THE COVID-19 PANDEMIC IN MARYLAND";"RECONSIDERED EXPERIENCES;ABORTION CARE-SEEKING;COVID- PANDEMIC"
"DRAGSETH JH, 2018, DIALOG";"DEFYING THE DEVIL: ADVOCATING FOR REPRODUCTIVE JUSTICE WITHOUT WORKS RIGHTEOUSNESS";"DEVIL ADVOCATING;REPRODUCTIVE JUSTICE"
"DUBRIWNY TN, 2021, Q J SPEECH";"JUSTIFYING ABORTION: THE LIMITS OF MATERNAL IDEALIST RHETORIC";"JUSTIFYING ABORTION;MATERNAL IDEALIST;IDEALIST RHETORIC"
"DUBRIWNY TN, 2024, COMMUN EDUC";"ENDINGS AND BEGINNINGS: <I>DOBBS</I> AND THE URGENCY OF RHETORICAL INVENTION";"BEGINNINGS IDOBBSI;RHETORICAL INVENTION"
"DUCRE KA, 2018, ENVIR SOCIOL";"THE BLACK FEMINIST SPATIAL IMAGINATION AND AN INTERSECTIONAL ENVIRONMENTAL JUSTICE";"BLACK FEMINIST;FEMINIST SPATIAL;SPATIAL IMAGINATION;INTERSECTIONAL ENVIRONMENTAL;ENVIRONMENTAL JUSTICE"
"DUDGEON P, 2019, GENEALOGY";"INDIGENOUS RELATIONALITY: WOMEN, KINSHIP AND THE LAW";"INDIGENOUS RELATIONALITY;RELATIONALITY WOMEN;WOMEN KINSHIP"
"DUDGEON P, 2020, ROUTLEDGE INTERNATIONAL HANDBOOK OF WOMEN'S SEXUAL AND REPRODUCTIVE HEALTH";"REPRODUCTIVE JUSTICE AND CULTURALLY SAFE APPROACHES TO SEXUAL AND REPRODUCTIVE HEALTH FOR INDIGENOUS WOMEN AND GIRLS";"REPRODUCTIVE JUSTICE;CULTURALLY SAFE;SAFE APPROACHES;REPRODUCTIVE HEALTH;INDIGENOUS WOMEN"
"DUFFY A, 2023, Consent. Gend. Power Subj.";"THE RIGHT TO WITHDRAW CONSENT TO CONTINUING AN UNWANTED PREGNANCY";"WITHDRAW CONSENT;UNWANTED PREGNANCY"
"DUKES A, 2019, INFANT MENT HEALTH J";"REPRODUCTIVE JUSTICE AND SUPPORT FOR YOUNG FATHERS";"REPRODUCTIVE JUSTICE"
"DUMLER-WINCKLER E, 2024, POLITICAL THEOL";"REPRODUCTIVE JUSTICE: MARY WOLLSTONECRAFT ON WOMEN'S ``RIGHTS AGAINST DOMINATION'' FOR THE ``CAUSE OF VIRTUE''";"REPRODUCTIVE JUSTICE;JUSTICE MARY;MARY WOLLSTONECRAFT;WOMENS RIGHTS"
"DUNCAN R, 2022, SOCIETIES";"BREASTFEEDING AWARENESS AND EMPOWERMENT (BAE): A BLACK WOMEN-LED APPROACH TO PROMOTING A MULTIGENERATIONAL CULTURE OF HEALTH";"BREASTFEEDING AWARENESS;EMPOWERMENT BAE;BLACK WOMEN-LED;WOMEN-LED APPROACH;MULTIGENERATIONAL CULTURE"
"DUNCAN R, 2022, Soc. Agenda";"BREASTFEEDING AWARENESS AND EMPOWERMENT (BAE): A BLACK WOMEN-LED APPROACH TO PROMOTING A MULTIGENERATIONAL CULTURE OF HEALTH “HOSPITALS HAVE SOME PROCEDURES THAT SEEM DEHUMANISING TO ME”: EXPERIENCES OF ABORTION-RELATED OBSTETRIC VIOLENCE IN BRAZIL, CHILE AND ECUADOR";"BREASTFEEDING AWARENESS;EMPOWERMENT BAE;BLACK WOMEN-LED;WOMEN-LED APPROACH;MULTIGENERATIONAL CULTURE;HEALTH HOSPITALS;ABORTION-RELATED OBSTETRIC;OBSTETRIC VIOLENCE;BRAZIL CHILE"
"DURANTE JC, 2023, ADOLESC HEALTH MED THER";"LONG-ACTING REVERSIBLE CONTRACEPTION FOR ADOLESCENTS: A REVIEW OF PRACTICES TO SUPPORT BETTER COMMUNICATION, COUNSELING, AND ADHERENCE";"LONG-ACTING REVERSIBLE;REVERSIBLE CONTRACEPTION;COMMUNICATION COUNSELING"
