"";"SR";"TC";"PY";"TI";"AB";"DI";"DT"
"648";"STUEBE A, 2024, HEALTH AFF";0;2024;"CULTIVATING VITAL CONDITIONS FOR PERINATAL WELL-BEING AND A SUSTAINED COMMITMENT TO REPRODUCTIVE JUSTICE";"PERINATAL MENTAL ILLNESS IS A LEADING CAUSE OF DEATH DURING PREGNANCY AND THE FIRST POSTPARTUM YEAR IN THE UNITED STATES. ALTHOUGH BETTER ACUTE CARE SERVICES FOR MENTAL HEALTH CONDITIONS ARE DESPERATELY NEEDED, URGENT SERVICES ALONE CANNOT CREATE THE CONDITIONS TO THRIVE. CULTIVATING WELL-BEING REQUIRES A SUSTAINED COMMITMENT TO REPRODUCTIVE JUSTICE, ``THE HUMAN RIGHT TO MAINTAIN PERSONAL BODILY AUTONOMY, HAVE CHILDREN, NOT HAVE CHILDREN, AND PARENT THE CHILDREN WE HAVE IN SAFE AND SUSTAINABLE COMMUNITIES.'' TO SUPPORT REPRODUCTIVE JUSTICE FOR PREGNANT AND BIRTHING PEOPLE, THE RIPPEL FOUNDATION'S VITAL CONDITIONS FOR HEALTH AND WELL-BEING FRAMEWORK OFFERS A HOLISTIC APPROACH COMPRISING SEVEN DOMAINS: A THRIVING NATURAL WORLD; BASIC NEEDS FOR HEALTH AND SAFETY; HUMANE HOUSING; MEANINGFUL WORK AND WEALTH; LIFELONG LEARNING; RELIABLE TRANSPORTATION; AND, CENTRAL TO ALL OF THESE, BELONGING AND CIVIC MUSCLE. HERE WE REVIEW THE EVIDENCE FOR EACH OF THE VITAL CONDITIONS AS KEY DRIVERS OF PERINATAL MENTAL HEALTH, AND WE OUTLINE HOW THIS PUBLIC HEALTH APPROACH CAN ADVANCE WELL-BEING ACROSS GENERATIONS.";"10.1377/hlthaff.2023.01452";"ARTICLE"
"649";"CURRY AM, 2024, GAMES CULT";0;2024;"BRIDGE BABIES AND REBUILDING AMERICA: REPRODUCTIVE COMMODIFICATION IN <I>DEATH STRANDING</I>";"HIDEO KOJIMA'S 2019 VIDEO GAME DEATH STRANDING HAS SOLD OVER 10 MILLION COPIES SINCE 2022. THE GAME'S PLOT FEATURES A POST-APOCALYPTIC UNITED STATES WHERE FEMALE BODIES BECOME COMMODITIES TO PRODUCE BABIES, WHICH THE GOVERNMENT UTILIZES AS EQUIPMENT TO REBUILD THE COUNTRY. THE PURPOSE OF THIS PAPER IS TO ANALYZE HOW THE GOVERNMENT'S, THE TERRORISTS', AND THE PLAYER CHARACTER'S WORDS AND ACTIONS REINFORCE OR REJECT TRADITIONAL PATRIARCHAL VIEWS ABOUT REPRODUCTION. I FIRST ESTABLISH A BACKGROUND IN POST-APOCALYPTIC NARRATIVES BY SYNTHESIZING THEMES FROM THE HANDMAID'S TALE, THE ROAD, AND THE WALKING DEAD. USING FEMINIST POST-STRUCTURALISM, I ANALYZE HOW REPRODUCTIVE COMMODIFICATION IS PRIORITIZED OVER ETHICS BY THE GOVERNMENT, REJECTED IN FAVOR OF GENERAL DESTRUCTION TO THE GREATER GOOD BY THE TERRORISTS, AND IS USED ONLY WHEN ABSOLUTELY NECESSARY BY THE PLAYER CHARACTER. I FINALLY ARGUE THAT COMMODIFICATION NARRATIVES ARE TYPICAL WITHIN POST-APOCALYPTIC NARRATIVES, ARE HARMFUL, AND HAVE THE POTENTIAL TO INFLUENCE REAL-WORLD POLITICS.";"10.1177/15554120241240101";"ARTICLE; EARLY ACCESS"
"650";"BARTOS AE, 2024, HYPATIA";0;2024;"CARE AND THE LIMITS OF A PRO-CHOICE DISCOURSE";"THE GLOBAL PANDEMIC EXPOSED MANY FLAWS IN THE GENDERED POLITICAL ECONOMY. IT ALSO ILLUMINATED HOW ESSENTIAL CARE IS TO OUR ECONOMY AND TO OUR FLOURISHING. YET, WHEN CARE IS DEPENDENT ON A CAPITALIST SYSTEM THAT RELIES ON COMPETITION, THERE WILL ALWAYS BE PEOPLE WHO RECEIVE CARE AND THOSE THAT WILL NOT. IN SUCH A SYSTEM, CARE IS WRONGLY PERCEIVED TO BE A ``CHOICE'' ONE CAN OPT INTO OR OUT OF. THIS SHORT ESSAY GRAPPLES WITH THE DISCOURSE OF CARE AS A CHOICE, PARTICULARLY AROUND REPRODUCTIVE DECISIONS. CHOICES OFFERED WITHIN A NEOLIBERAL MARKET LOGIC FAIL TO UNDERSTAND THE POLITICAL RELATIONALITIES OF SUCH CHOICES. DRAWING ON MY PERSONAL EXPERIENCE OF AN ABORTION AND OTHER EXAMPLES FROM THE FIRST YEAR OF COVID-19, THIS ESSAY DEMONSTRATES HOW LITTLE CHOICE THERE IS IN MATTERS OF CARE; CARE CONNECTS AND DISCONNECTS ONE ANOTHER REGARDLESS OF PERSONAL CHOICES. IF MATTERS OF CARE PERSIST IN THE REALM OF THE MARKET RELIANT ON RATIONAL ECONOMIC AUTONOMOUS ACTORS, THEN THE MANY INTERRELATIONALITIES OF CARE THAT THE PANDEMIC EXPOSED WILL NOT HAVE ANY IMPACT ON ATTAINING A MORE CARING SOCIETY. THIS IS PARTICULARLY IMPORTANT GIVEN THE NATURE OF ABORTION POLITICS IN THE UNITED STATES. I ARGUE THAT ABORTION IS HEALTH CARE, AND IS OFTEN THE MOST CARING DECISION A PREGNANT PERSON CAN MAKE FOR THE WORLD THEY ARE TRYING TO MAINTAIN, CONTINUE, AND REPAIR (PER TRONTO 1993). CARE IS NOT A CHOICE; IT IS FUNDAMENTAL TO HUMAN SOCIETY.";"10.1017/hyp.2023.113";"REVIEW; EARLY ACCESS"
"651";"MACNAMARA N, 2024, CULT HEALTH SEX";0;2024;"HEALTHCARE PROFESSIONALS' ATTITUDES TOWARDS THE TERMINATION OF PREGNANCY: A QUALITATIVE ANALYSIS OF SURVEY DATA IN NORTHERN IRELAND";"ABORTION WAS DECRIMINALISED IN NORTHERN IRELAND IN OCTOBER 2019. FOLLOWING DECRIMINALISATION, THE NEW REGULATIONS SET OUT LEGAL PROVISION FOR ABORTION UP UNTIL 12 WEEKS, WITH CONDITIONS THEREAFTER. THIS CROSS-SECTIONAL DESCRIPTIVE SURVEY, CONDUCTED IN LATE 2019 IN NORTHERN IRELAND, GATHERED THE VIEWS OF HEALTH PROFESSIONALS ON DECRIMINALISATION, AND THEIR WILLINGNESS TO PROVIDE ABORTION SERVICES. THIS ARTICLE PROVIDES A THEMATIC ANALYSIS OF ANSWERS TO NARRATIVE QUESTIONS FROM THE ONLINE SURVEY, AND IDENTIFIES PRIORITY AREAS OF ENGAGEMENT WITH HEALTHCARE PROFESSIONALS. WE ASSESS HOW HEALTHCARE PROFESSIONAL ROLES AND RESPONSIBILITIES, ABORTION PROCEDURES, THE FOETUS, AND WOMEN AND PREGNANT PEOPLE WERE DISCURSIVELY CONSTRUCTED BY RESPONDENTS WHO ARE WILLING OR UNWILLING TO PROVIDE ABORTION SERVICES IN NORTHERN IRELAND. WE IDENTIFY A NARROW UNDERSTANDING OF `HARM', AND GENDERED NORMS OF WOMEN AS IRRESPONSIBLE OR DUPLICITOUS, AS INHIBITORY FACTORS TO THE NORMALISATION OF ABORTION SERVICES IN NORTHERN IRELAND.";"10.1080/13691058.2024.2324004";"ARTICLE; EARLY ACCESS"
"652";"NELSON TJ, 2024, J MIDWIFERY WOMEN HEALTH";0;2024;"PERSPECTIVES OF CERTIFIED NURSE-MIDWIVES AND PHYSICIANS ON THE STRUCTURAL AND INSTITUTIONAL BARRIERS THAT CONTRIBUTE TO THE REPRODUCTIVE INEQUITIES OF BLACK BIRTHING PEOPLE IN THE SAN FRANCISCO BAY AREA";"INTRODUCTIONBLACK BIRTHING PEOPLE IN THE UNITED STATES DISPROPORTIONATELY ENDURE INEQUITABLE EXPERIENCES AND OUTCOMES DURING PREGNANCY AND CHILDBIRTH VIA STRUCTURAL, INTERPERSONAL, AND OBSTETRIC RACISM. IN THIS STUDY, THE RESEARCHERS EXPLORE PROVIDER PERSPECTIVES OF HOW RACISM IS PERPETUATED IN INSTITUTIONAL PERINATAL AND REPRODUCTIVE HEALTH CARE.METHODSCRITICAL RACE THEORY, REPRODUCTIVE JUSTICE, AND MIDWIFERY THEORY WERE OPERATIONALIZED THROUGH SECONDARY THEMATIC ANALYSIS OF EXISTING QUALITATIVE DATA FROM THE COMMUNITY RACIAL EQUITY AND TRAINING INTERVENTIONS AND EVALUATION OF CURRENT AND FUTURE HEALTHCARE CLINICIANS STUDY. TWENTY-FOUR PERINATAL PROVIDERS (CERTIFIED NURSE-MIDWIVES [N = 7] AND PHYSICIANS [N = 17]) VOLUNTARILY PARTICIPATED IN INTERVIEWS. A COMPARATIVE APPROACH WAS USED TO DETERMINE HOW PROFESSIONAL IDENTITY AND MODEL OF CARE INFLUENCE PHYSICIANS' AND CERTIFIED NURSE-MIDWIVES' PERCEPTIONS OF EQUITY.RESULTSTHEMATIC ANALYSIS PRODUCED 5 THEMES: RACISM AS A COMORBIDITY, HEALTH CARE SYSTEMS' INABILITY TO ADDRESS THE NEEDS OF BLACK BIRTHING PEOPLE, HEALTH CARE SYSTEMS PRIORITIZING PROVIDERS OVER PATIENTS ARE FAILED SYSTEMS, PATIENTS ARE THE EXPERTS IN THE OPTIMAL HEALTH CARE MODEL, AND BENEFITS OF INTERPROFESSIONAL TEAMS GROUNDED IN REPRODUCTIVE JUSTICE. ADDITIONALLY, BOTH PHYSICIANS AND MIDWIVES EXPRESSED A NEED FOR A NEW CARE MODEL.DISCUSSIONWITH THESE FINDINGS, OUR TEAM PROPOSES A MODIFICATION OF THE MIDWIFERY MODEL FOR APPLICATION BY ALL PROVIDER TYPES THAT COULD RADICALLY SHIFT THE EXPERIENCE AND OUTCOMES OF PERINATAL AND REPRODUCTIVE HEALTH CARE AND REDUCE MORTALITY. USING A HUMAN RIGHTS APPROACH TO CARE, A REPRODUCTIVE JUSTICE-PUBLIC HEALTH CRITICAL RACE PRAXIS-INFORMED MIDWIFERY MODEL MAY BE OPERATIONALIZED BY ALL PERINATAL AND REPRODUCTIVE HEALTH CARE PROVIDERS. THIS NOVEL MODEL REFLECTS AN ITERATIVE PROCESS THAT MAY OFFER INSTITUTIONS AND PROVIDERS METHODS TO BUILD ON PAST RESEARCH SUPPORTING MIDWIFERY-CENTERED CARE FOR IMPROVING OUTCOMES FOR ALL PATIENTS BY SPECIFICALLY FOCUSING ON IMPROVING CARE OF BLACK BIRTHING PEOPLE. THE IMPLICATIONS OF THIS WORK OFFER BROAD APPLICATION IN CURRENT CLINICAL PRACTICE, QUALITY IMPROVEMENT, RESEARCH, TECHNOLOGY, AND PATIENT RESOURCES.";"10.1111/jmwh.13614";"ARTICLE; EARLY ACCESS"
"653";"ZETTERMARK S, 2024, EUR J WOMENS STUD";0;2024;"`THEY ALL OF A SUDDEN BECAME NEW PEOPLE': USING REPRODUCTIVE JUSTICE TO EXPLORE NARRATIVES OF HORMONAL CONTRACEPTIVE EXPERIENCE IN SWEDEN";"THIS STUDY EXPLORES HOW SWEDISH WOMEN NARRATE EXPERIENCES OF HORMONAL CONTRACEPTIVES THROUGH UTILIZING THE FRAMEWORKS OF BIOMEDICALIZATION AND REPRODUCTIVE JUSTICE, ADDING A SOCIAL JUSTICE PERSPECTIVE PREVIOUSLY LACKING. TEN IN-DEPTH INTERVIEWS WERE CONDUCTED WITH WOMEN WHO HAD EXPERIENCE OF USING HORMONAL CONTRACEPTION. POLITICAL NARRATIVE ANALYSIS ILLUMINATED HOW THESE WOMEN MOVED NARRATIVELY BOTH CHRONOLOGICALLY, FROM THE TEENAGE YEARS TO ADULTHOOD, AND THROUGH SOCIAL POSITIONING, IN THEIR CONTRACEPTIVE STORIES. TWO DIFFERENT, OFTEN CONFLICTING, DISCOURSES OF HORMONAL CONTRACEPTIVES EMERGED, WHICH THE WOMEN CONSTANTLY NEGOTIATED. THESE CAN BE DESCRIBED AS (1) A BIOMEDICAL INTERPRETATIVE PREROGATIVE, PROMOTING HORMONAL METHODS AS AN EASY FIT FOR EVERYONE, AND NEGATING THE DIVERSE LIVED EXPERIENCES OF WOMEN, AND (2) A SIMPLIFIED CRITICAL MEDIA AND ONLINE DISCOURSE, PAINTING HORMONAL METHODS AS AN ENEMY TO FEMALE HEALTH. FROM A REPRODUCTIVE JUSTICE STANDPOINT, THESE STORIES ILLUMINATE THAT AGE IS A RELEVANT INTERSECTIONAL LOCATION, AND EVEN PRIVILEGED WOMEN IN A COUNTRY KNOWN FOR ITS `GENDER EQUALITY AGENDA' CAN EXPERIENCE SUBTLE YET VERY REAL, REPRODUCTIVE COERCION, WHEN AGENCY BECOMES CONSTRAINED TO CHOOSING HORMONAL CONTRACEPTIVES WITHIN A DOMINANT BIOMEDICAL SCRIPT. EVEN THOUGH CRITIQUE OF THE MECHANISTIC PRESCRIPTION OF HORMONAL CONTRACEPTION IS RATHER UBIQUITOUS, THE OPPOSITION IN THESE NARRATIVES DOES NOT TAKE THE FORM OF REJECTION OF BIOMEDICAL KNOWLEDGE, RATHER THE BIOMEDICAL PARADIGM IS INTERNALIZED AND INCORPORATED INTO THE EMBODIED KNOWLEDGE. THIS STUDY SHOWS THAT UPSTREAM FACTORS SUCH AS GENDERED SOCIAL INJUSTICES, REPRODUCTIVE NORMS, AND A BIOMEDICAL EXPANSION ARE INTRICATELY INTERWOVEN WITH EMBODIED EXPERIENCE OF HORMONAL CONTRACEPTIVE USE. IT IS IMPORTANT TO ACKNOWLEDGE THAT DISTINCT LIVED EXPERIENCES OF MOOD OR PERSONALITY CHANGE IN WOMEN USING HORMONAL CONTRACEPTIVES ARE CONTEXTUAL AND DEPENDENT ON INTERSECTIONAL LOCATION. I PROPOSE NO SIMPLE PANACEA, BUT WHEN A STATE-SANCTIONED BIOMEDICAL PREROGATIVE PUTS ALL EMPHASIS ON INDIVIDUAL REPRODUCTIVE PLANNING BEHAVIOUR, IT OBSCURES STRUCTURAL INEQUALITIES AND NARROWS IMAGINABLE LIFE TRAJECTORIES.";"10.1177/13505068241230821";"ARTICLE"
"654";"RODRIGUEZ-CAMACHO MF, 2024, REPROD HEALTH";0;2024;"MENARCHE AND REPRODUCTIVE HEALTH IN SPANISH ROMA WOMEN FROM A REPRODUCTIVE JUSTICE PERSPECTIVE: A QUALITATIVE STUDY";"OBJECTIVESTHIS STUDY AIMED TO EXPLORE THE PERCEPTIONS OF ROMA WOMEN ABOUT THEIR EXPERIENCE OF MENARCHE AND REPRODUCTIVE HEALTH CONSIDERING THE PRINCIPLES OF REPRODUCTIVE JUSTICE.DESIGNQUALITATIVE STUDY BASED ON SEMI-STRUCTURED INTERVIEWS WITH ROMA WOMEN AGES 18 THROUGH 67 IN DIFFERENT NEIGHBORHOODS IN THE SOUTHEAST OF SPAIN. USING A THEMATIC ANALYSIS, WE ANALYZED EXPERIENCES RELATED TO MENARCHE AND MENSTRUATION AND THEIR SIGNIFICANCE FOR REPRODUCTIVE HEALTH, THE PREPARATION FOR THE PHASE OF MENARCHE AND INTERGENERATIONAL SUPPORT.RESULTSTHE ROMA WOMEN INTERVIEWED SHARED THEIR APPROACH TO THE EXPERIENCES OF MENARCHE AND MENSTRUATION AS CHILDREN IN THEIR FAMILY ENVIRONMENTS WITH A FOCUS ON ACCESS TO INFORMATION PROVIDED BY OTHER WOMEN IN THE FAMILY AND COMMUNITY FOR REPRODUCTIVE HEALTH MANAGEMENT. IN THEIR DISCOURSES WE OBSERVED THAT THE ONSET OF MENSTRUATION SUPPOSES A RUPTURE IN THE PUBLIC AND PRIVATE SPACES OF GIRLS AND WOMEN.CONCLUSIONSTHE RESULTS OF THIS STUDY SUGGEST THAT WOMEN AND GIRLS DO NOT GAIN ACCESS TO INFORMATION THAT CONTRIBUTES TO THEIR REPRODUCTIVE WELLBEING THROUGH THEIR EXPERIENCE OF MENARCHE. ACCESS TO RESOURCES AND SKILLS TO MANAGE BIOLOGICAL CHANGES IN ADOLESCENTS COULD CONTRIBUTE TO REDUCING THE IMPACT OF CULTURAL MYTHS, FALSE IDEAS AND TABOOS THAT PREVENT ADVOCACY AND EMPOWERMENT ON ISSUES OF REPRODUCTIVE JUSTICE. THIS STUDY SHOWS THAT THE PUBLIC SPACES SURROUNDING ROMA WOMEN DO NOT PROVIDE THE TOOLS AND RESOURCES TO PROMOTE AND MAINTAIN THEIR WELLBEING AND REPRODUCTIVE HEALTH AFTER THE ONSET OF THIS IMPORTANT TIME. SEXUAL AND REPRODUCTIVE HEALTH IS NOT ADDRESSED DURING THE TIME OF CHILDHOOD NOR ADOLESCENCE. ROMA WOMEN LACK A FRAMEWORK WITH AN ESTABLISHED DISCOURSE ON REPRODUCTIVE JUSTICE, ALONG WITH THE NECESSARY INSTITUTIONAL RESOURCES. PREPARATION FOR AND FOLLOW-UP OF THE ONSET OF MENSTRUATION AMONG ROMA WOMEN COULD BE A KEY FOR THEIR HEALTH. THESE RESULTS COINCIDE WITH QUALITATIVE STUDIES CARRIED OUT IN WOMEN FROM DIFFERENT CULTURAL ORIGINS, IN WHICH MENARCHE AND MENSTRUATION ARE EXPERIENCED AS A TRANSCENDENTAL FACT. IN OTHER CONTEXTS, SIMILAR TO ROMA WOMEN, THIS STAGE IN WOMEN'S HEALTH LACKS RESOURCES AND INFORMATION AND AN ADEQUATE APPROACH FROM THE PERSPECTIVE OF REPRODUCTIVE HEALTH, WHICH CONDITIONS THE MENSTRUAL, SEXUAL AND REPRODUCTIVE HEALTH OF WOMEN ACROSS THEIR LIFESPAN. ROMA WOMEN EXPERIENCE MENARCHE AS A SIGNIFICANT CHANGE IN THE LIFE OF A WOMAN. THEY DESCRIBE HAVING LIVED THE PROCESS AS AN ABANDONMENT OF CHILDHOOD AND THE BEGINNING OF AN ADULT LIFE, ONE THAT IS IMPLICITLY LINKED TO MATERNITY AND COUPLE RELATIONSHIPS. THE RESULTS SHOW THAT THEY DEFEND THE CONTINUITY OF CHILDHOOD AMONG THE NEW GENERATION. ROMA WOMEN EXPRESS THAT THEY EXPERIENCED MENARCHE AS AN EVENT THAT WAS TRAUMATIC, EMBARRASSING AND CONFUSING. MENARCHE AND MENSTRUATION ARE ATTENDED TO IN PRIVATE AND AMONG THE FAMILY, AND MASCULINE FIGURES DO NOT PARTICIPATE. THE MOTHER IS THE ONLY TRANSMITTER OF INFORMATION AND SUPPORT DURING THE PROCESS.";"10.1186/s12978-023-01726-5";"ARTICLE"
"655";"MCMAHON HV, 2024, HEALTH EQUITY";0;2024;"MY HEALTH IN MY HANDS: IMPROVING MEDICATION ABORTION KNOWLEDGE AND CLOSING DISPARITIES WITH A COMMUNITY-LED MEDIA INTERVENTION";"<BOLD>PURPOSE:</BOLD> INACCURATE BELIEFS ABOUT MEDICATION ABORTION (MA) ARE COMMON. THIS STUDY EVALUATED PILOT DATA FROM A COMMUNITY-LED MEDIA INTERVENTION DESIGNED TO INCREASE MA KNOWLEDGE AMONG BLACK AND LATINX WOMEN IN GEORGIA. <BOLD>METHODS:</BOLD> PARTICIPANTS (N=855) VIEWED THE INTERVENTION VIDEO AND COMPLETED PRE-POST SURVEYS. DATA WERE ANALYZED USING LINEAR AND LOGISTIC REGRESSION. <BOLD>RESULTS:</BOLD> KNOWLEDGE SCORES SIGNIFICANTLY INCREASED FROM 3.88/5.00 TO 4.47/5.00. PARTICIPANTS WHO WERE NATIVE AMERICAN, ASIAN AND PACIFIC ISLANDER, MULTIRACIAL, BLACK, <20 YEARS OLD, AND LIVING IN GEORGIA SCORED BELOW THE SAMPLE MEAN AT BASELINE; HOWEVER, NEARLY ALL DISPARITIES DISAPPEARED AFTER INTERVENTION EXPOSURE. <BOLD>CONCLUSIONS:</BOLD> THIS INTERVENTION EFFECTIVELY INCREASED MA KNOWLEDGE AND NARROWED RACIAL/ETHNIC, AGE-BASED, AND GEOGRAPHIC DISPARITIES.";"10.1089/heq.2023.0210";"ARTICLE"
"656";"NORWOOD C, 2024, J WOMEN POLIT POLICY";0;2024;"MORE THAN ABORTION: WHY REPRODUCTIVE JUSTICE MATTERS IN CINCINNATI POST-<I>ROE</I>";"THIS STUDY EXAMINES REPRODUCTIVE JUSTICE (RJ) FOR BLACK WOMEN IN CINCINNATI. WHILE RECOGNIZING THE IMPORTANCE OF ENSURING SAFE, LEGAL, AND AFFORDABLE ABORTION ACCESS, RJ EXTENDS BEYOND THIS NARROW FOCUS AND DELVES INTO THE COMPLEX INTERSECTIONS OF RACE, GENDER, SEXUALITY, AND SOCIAL CLASS. EMPLOYING PRINCIPLES FROM BLACK FEMINIST PRAXIS IN UTILIZING COMMUNITY-BASED PARTICIPATORY RESEARCH (CBPR) METHODS, WE CONDUCTED QUALITATIVE INTERVIEWS TO CENTER THE VOICES AND EXPERIENCES OF 24 SELF-IDENTIFIED BLACK WOMEN. THE RESEARCH UNCOVERS THREE MAIN THEMES: 1) IDEOLOGICAL VIOLENCE AGAINST BLACK WOMEN, WITH SUBTHEMES: BEAUTY AND BODY IMAGE, STRENGTH AND RESILIENCE, AND STIGMATIZED MOTHERING; 2) DISTRUST IN DAYCARE SERVICES; AND 3) HURDLES FOR LOW INCOME WOMEN IN ACCESSING ABORTION CARE. THESE FINDINGS SHED LIGHT ON A POST-ROE REPRODUCTIVE JUSTICE LANDSCAPE FOR BLACK WOMEN IN CINCINNATI.";"10.1080/1554477X.2024.2300096";"ARTICLE"
"657";"COKER CR, 2024, WOMEN STUD COMMUN";0;2024;"(RE)PRODUCTIVE DISSENT: REPRODUCTIVE JUSTICE IN <I>DOBBS V. JACKSON WOMEN'S HEALTH ORGANIZATION</I>";"THE OVERTURN OF ROE V. WADE AND PLANNED PARENTHOOD V. CASEY IN JUNE 2022 SOLIDIFIED THE PATCHWORK NATURE OF ABORTION ACCESS IN THE UNITED STATES AND CLARIFIED, FOR SOME, THE NEED TO MOVE BEYOND A FRAMEWORK OF REPRODUCTIVE RIGHTS TOWARD AN APPROACH TO REPRODUCTIVE JUSTICE THAT WOULD GUARANTEE MEDICAL AUTONOMY FOR INDIVIDUALS IN THE PURSUIT OF (NOT) BECOMING PARENTS. WE PRESENT THE DISSENT IN DOBBS V. JACKSON WOMEN'S HEALTH ORGANIZATION AS AN ATTEMPT TO CREATE A LEGALLY INTELLIGIBLE REPRODUCTIVE JUSTICE. WE ANALYZE THE EXCESSES OF THE DISSENT-THE VIOLATIONS OF GENERIC AND INSTITUTIONAL NORMS CONCERNING, SPECIFICALLY, THE INCLUSION OF THE LIVED EXPERIENCES OF PREGNANT PEOPLE. WE CONCLUDE, HOWEVER, THAT THE CAPACITY FOR RHETORICAL INVENTION IN THE DISSENT IS MUTED BY THE UNCRITICAL (RE)CIRCULATION OF NEOLIBERAL TROPES ENDEMIC TO THE SUPREME COURT AND THE BROADER ABORTION DEBATE IN THE UNITED STATES. WE CONCLUDE WITH THE IMPLICATIONS FOR THIS (IMPERFECT) ARTICULATION OF REPRODUCTIVE JUSTICE IN AN INSTITUTIONAL CONTEXT.";"10.1080/07491409.2023.2297289";"ARTICLE"
"658";"SWADLEY HA, 2024, J WOMEN POLIT POLICY";0;2024;"``DEEPLY ROOTED'': ABORTION FEDERALISM, DIVIDED CITIZENSHIP, AND DISABILITY REPRODUCTIVE (IN)JUSTICE";"LAWS STRUCTURE PEOPLE'S ``LIVED CITIZENSHIPS.'' THIS ARTICLE CONSIDERS THE WAYS IN WHICH DOBBS V. JACKSON WOMEN'S HEALTH ORGANIZATION GAVE STATES THE POWER TO REGULATE REPRODUCTION IN WAYS THAT HAVE DISPROPORTIONATE CONSEQUENCES FOR PREGNANT PEOPLE WITH DISABILITIES. SPECIFICALLY, DOBBS DID NOT ELIMINATE THE RIGHT TO BODILY INTEGRITY, BUT RATHER PUT CONDITIONS ON WHO CAN CLAIM A RIGHT TO BODILY INTEGRITY IN FEDERAL COURTS. MOREOVER, UNEVEN CHANGES TO MEDICAID FINANCING OF ABORTIONS HAVE CREATED A ``POSTCODE LOTTERY.'' PEOPLE'S ABILITY TO RECEIVE CARE IS DETERMINED BY A POLITICS OF PLACE - OR EVEN INDIVIDUAL PROVIDERS. THESE POLICIES CREATE STRUCTURAL INEQUALITIES.";"10.1080/1554477X.2024.2300094";"ARTICLE"
"659";"MILLATT A, 2024, J MIDWIFERY WOMEN HEALTH";0;2024;"GIVING BIRTH WITH A MIDWIFE IN ATTENDANCE: ASSOCIATIONS OF RACE AND INSURANCE STATUS WITH CONTINUITY OF MIDWIFERY CARE IN PHILADELPHIA";"INTRODUCTIONFROM 2013 TO 2019, BLACK WOMEN COMPRISED 73\% OF PREGNANCY-RELATED DEATHS IN PHILADELPHIA. THERE IS CURRENTLY A DEARTH OF RESEARCH ON THE CONTINUITY OF MIDWIFERY CARE FROM INITIATION OF PRENATAL CARE THROUGH BIRTH IN RELATION TO CHARACTERISTICS SUCH AS RACE/ETHNICITY AND INCOME. THE AIM OF THIS STUDY WAS TO INVESTIGATE WHETHER RACE/ETHNICITY AND INSURANCE STATUS WERE ASSOCIATED WITH THE LIKELIHOOD OF A PREGNANT PERSON WHO BEGINS PRENATAL CARE WITH A MIDWIFE TO REMAIN IN MIDWIFERY CARE FOR BIRTH ATTENDANCE.METHODSTHIS WAS A RETROSPECTIVE COHORT STUDY OF A DIVERSE POPULATION OF PREGNANT PATIENTS WHO GAVE BIRTH IN A LARGE TERTIARY CARE HOSPITAL AND HAD THEIR FIRST PRENATAL VISIT WITH A CERTIFIED NURSE-MIDWIFE (CNM) BETWEEN JUNE 2, 2009, AND JUNE 30, 2020 (N = 5121). WE USED MULTIVARIABLE, LOG-BINOMIAL REGRESSION MODELS TO CALCULATE RISK RATIOS OF TRANSFERRING TO PHYSICIAN CARE (VS REMAINING WITHIN CNM CARE), ADJUSTED FOR AGE, RACE/ETHNICITY, PREPREGNANCY BODY MASS INDEX, INSURANCE TYPE, AND COMORBIDITIES.RESULTSAFTER ADJUSTING FOR PREGNANCY-RELATED RISK FACTORS, NON-HISPANIC BLACK PATIENTS (ADJUSTED RELATIVE RISK [ARR], 1.14; 95\% CI, 1.04-1.24) AND PUBLICLY INSURED PATIENTS (ARR, 1.11; 95\% CI, 1.01-1.22) WERE AT HIGHER RISK OF BEING TRANSFERRED TO PHYSICIAN CARE COMPARED WITH NON-HISPANIC WHITE AND PRIVATELY INSURED PATIENTS. SECONDARY ANALYSIS REVEALED THAT NON-HISPANIC BLACK PATIENTS HAD HIGHER RISK OF TRANSFERRING AND HAVING AN OPERATIVE BIRTH (ARR, 1.35; 95\% CI, 1.18-1.55), WHEREAS PUBLICLY INSURED PATIENTS WERE AT HIGHER RISK OF BEING TRANSFERRED FOR REASONS OTHER THAN OPERATIVE BIRTHS (ARR, 1.35; 95\% CI, 1.18-1.54).DISCUSSIONTHESE FINDINGS INDICATE THAT BLACK AND PUBLICLY INSURED PATIENTS WERE MORE LIKELY THAN WHITE AND PRIVATELY INSURED PATIENTS TO TRANSFER TO PHYSICIAN CARE EVEN AFTER ADJUSTMENT FOR COMORBID CONDITIONS. THUS, FURTHER RESEARCH IS NEEDED TO IDENTIFY THE FACTORS THAT CONTRIBUTE TO RACIAL AND ECONOMIC DISPARITY IN CONTINUITY OF MIDWIFERY CARE.";"10.1111/jmwh.13604";"ARTICLE"
