"";"Term";"Cluster"
"APPLYING CRITICAL";"APPLYING CRITICAL";4
"APPLYING INTERSECTIONAL";"APPLYING INTERSECTIONAL";4
"ARAB WORLD";"ARAB WORLD";6
"ARENDT NATALITY";"ARENDT NATALITY";4
"ARM PROVIDING";"ARM PROVIDING";4
"ARMED CONFLICT";"ARMED CONFLICT";6
"ARTICULATING REPRODUCTIVE";"ARTICULATING REPRODUCTIVE";2
"ARTIFICIAL INTELLIGENCE";"ARTIFICIAL INTELLIGENCE";2
"ASIAN AMERICAN";"ASIAN AMERICAN";1
"ASPIRATIONAL SOLIDARITY";"ASPIRATIONAL SOLIDARITY";4
"ASSAULT CHARACTERISTICS";"ASSAULT CHARACTERISTICS";1
"ASSAULT MEDICAL";"ASSAULT MEDICAL";1
"ASSESSING FEASIBILITY";"ASSESSING FEASIBILITY";4
"ASSIGNED FEMALE";"ASSIGNED FEMALE";3
"AT-RISK MOTHERS";"AT-RISK MOTHERS";6
"ATTACK FIGHTING";"ATTACK FIGHTING";2
"ATTENDANCE ASSOCIATIONS";"ATTENDANCE ASSOCIATIONS";3
"AUDIÊNCIA PÚBLICA";"AUDIÊNCIA PÚBLICA";5
"AUSTRALIAN BIRTH";"AUSTRALIAN BIRTH";2
"AUSTRALIAN TRANSGENDER";"AUSTRALIAN TRANSGENDER";4
"AUTHORITARIAN POLITICS";"AUTHORITARIAN POLITICS";6
"AUTOETHNOGRAPHIC EXAMINATION";"AUTOETHNOGRAPHIC EXAMINATION";6
"AVALIAÇÃO CRÍTICA";"AVALIAÇÃO CRÍTICA";4
"AVEC AMANDINE";"AVEC AMANDINE";6
"AVERY DISCUSSES";"AVERY DISCUSSES";2
"AWARENESS SEXUAL";"AWARENESS SEXUAL";2
"BABIESHOW MODERN";"BABIESHOW MODERN";5
"BABY-HUNGER SURROGACY";"BABY-HUNGER SURROGACY";6
"BAD ECOSEX";"BAD ECOSEX";6
"BAJO CAUCA";"BAJO CAUCA";4
"BALANCING ENHANCED";"BALANCING ENHANCED";4
"BALINESE COMPOUND";"BALINESE COMPOUND";6
"BALTIMORE MD";"BALTIMORE MD";4
"BAN LEGISLATION";"BAN LEGISLATION";5
"BAN TRANSNATIONAL";"BAN TRANSNATIONAL";6
"BANS-A REPRODUCTIVE";"BANS-A REPRODUCTIVE";5
"BARRIERS FACED";"BARRIERS FACED";5
"BARS COERCION";"BARS COERCION";5
"BEAR DENIED";"BEAR DENIED";3
"BEARING CHILDREN";"BEARING CHILDREN";2
"BEARING RISKS";"BEARING RISKS";2
"BEDSIDE INCORPORATING";"BEDSIDE INCORPORATING";5
"BEGET SLAVES";"BEGET SLAVES";6
"BEINGKNOWINGFEELING STORYTELLING";"BEINGKNOWINGFEELING STORYTELLING";2
"BELIEF MODEL";"BELIEF MODEL";4
"BIOPOLITICS WOMENS";"BIOPOLITICS WOMENS";2
"BIRTH- TIMETHE";"BIRTH- TIMETHE";6
"BIRTH CENTER";"BIRTH CENTER";1
"BIRTH CHILDBIRTH";"BIRTH CHILDBIRTH";2
"BIRTH COMPANION";"BIRTH COMPANION";2
"BIRTH DEFECTS";"BIRTH DEFECTS";6
"BIRTH DISABILITY";"BIRTH DISABILITY";6
"BIRTH DISCOURSE";"BIRTH DISCOURSE";6
"BIRTH DUE";"BIRTH DUE";2
"BIRTH EXPERIENCES";"BIRTH EXPERIENCES";2
"BIRTH FAMILY";"BIRTH FAMILY";2
"BIRTH GIVERS";"BIRTH GIVERS";2
"BIRTH OUTCOMES";"BIRTH OUTCOMES";1
"BIRTH PLANNING";"BIRTH PLANNING";1
"BIRTH PROFESSIONALS";"BIRTH PROFESSIONALS";2
"BIRTH RIGHTS";"BIRTH RIGHTS";6
"BIRTH SPACING";"BIRTH SPACING";1
"BIRTH WORKERS";"BIRTH WORKERS";6
"BIRTHING BLACKBOYJOY";"BIRTHING BLACKBOYJOY";4
"BIRTHING BODIES";"BIRTHING BODIES";6
"BIRTHING COMMUNITIES";"BIRTHING COMMUNITIES";1
"BIRTHING EXPERIENCES";"BIRTHING EXPERIENCES";2
"BIRTHING KNOWLEDGE";"BIRTHING KNOWLEDGE";4
"BIRTHING RESTRICTIONS";"BIRTHING RESTRICTIONS";4
"BIRTHRIGHT CITIZENSHIP";"BIRTHRIGHT CITIZENSHIP";2
"BISEXUAL WOMEN";"BISEXUAL WOMEN";4
"BLACK LITERATURE";"BLACK LITERATURE";2
"BLACKBOYJOY BLACK";"BLACKBOYJOY BLACK";4
"BLEED KILL";"BLEED KILL";2
"BLOOD SPOT";"BLOOD SPOT";1
"BLOODY MARVELS";"BLOODY MARVELS";6
"BLUEFIELDS NICARAGUA";"BLUEFIELDS NICARAGUA";6
"BMI REPRODUCTIVE";"BMI REPRODUCTIVE";1
"BODIES BODY";"BODIES BODY";4
"BODIES DELIVERING";"BODIES DELIVERING";6
"BODIES RAPE";"BODIES RAPE";6
"BODY-TERRITORIES UNDERSTANDING";"BODY-TERRITORIES UNDERSTANDING";6
"BODY ONTOLOGIES";"BODY ONTOLOGIES";4
"BODY POLITICS";"BODY POLITICS";6
"BODY REPRODUCTIVE";"BODY REPRODUCTIVE";6
"BODY SIZE";"BODY SIZE";1
"BOND POWER";"BOND POWER";6
"BONES MEANS";"BONES MEANS";1
"BOONS POTENTIAL";"BOONS POTENTIAL";2
"BORDER VIOLENCE";"BORDER VIOLENCE";1
"BORDERLANDS WINNER";"BORDERLANDS WINNER";2
"BORDERS GLOBAL";"BORDERS GLOBAL";2
"BORN REPRODUCTIVE";"BORN REPRODUCTIVE";6
"BORN TRANSNATIONAL";"BORN TRANSNATIONAL";6
"BREAKING FAMILIES";"BREAKING FAMILIES";4
"BREAKING FREE";"BREAKING FREE";1
"BRIDGE BABIES";"BRIDGE BABIES";6
"BRIDGING SILOS";"BRIDGING SILOS";4
"BRITAIN INTRODUCTION";"BRITAIN INTRODUCTION";6
"BRITAIN PUNISHING";"BRITAIN PUNISHING";2
"BRITISH WELFARE";"BRITISH WELFARE";6
"BROADER UNDERSTANDING";"BROADER UNDERSTANDING";1
"BRUNSWICK CANADA";"BRUNSWICK CANADA";4
"BUILD FEMINIST";"BUILD FEMINIST";2
"BUILDING COLLECTIVE";"BUILDING COLLECTIVE";4
"BUILDING REPRODUCTIVE";"BUILDING REPRODUCTIVE";6
"BYLLYE AVERY";"BYLLYE AVERY";2
"CALIFORNIA INDIANS";"CALIFORNIA INDIANS";2
"CALIFORNIA WOMENS";"CALIFORNIA WOMENS";5
"CANADA APOSS";"CANADA APOSS";4
"CANADAS CHEMICAL";"CANADAS CHEMICAL";6
"CANADIAN HISTORY";"CANADIAN HISTORY";6
"CANCER CARE";"CANCER CARE";2
"CANCER PREVENTION";"CANCER PREVENTION";2
"CANTONADA EXPLOTACIÓ";"CANTONADA EXPLOTACIÓ";6
"CARDIOVASCULAR DISEASES";"CARDIOVASCULAR DISEASES";1
"CAROLINA CHOOSING";"CAROLINA CHOOSING";5
"CAROLINAS IMPROVING";"CAROLINAS IMPROVING";2
"CASE-BASED INTERACTIVE";"CASE-BASED INTERACTIVE";6
"CASE-STUDY ANALYSIS";"CASE-STUDY ANALYSIS";3
"CATCHING FIRE";"CATCHING FIRE";4
"CATHOLIC DIRECTIVES";"CATHOLIC DIRECTIVES";4
"CAUCA REGION";"CAUCA REGION";4
"CELEBRATING DIVERSITY";"CELEBRATING DIVERSITY";4
"CELEBRATION MEETS";"CELEBRATION MEETS";2
"CELEBRITIES REPRODUCTIVE";"CELEBRITIES REPRODUCTIVE";4
"CEMETERIES REPRODUCTIVE";"CEMETERIES REPRODUCTIVE";6
"CENTERING DISABILITY";"CENTERING DISABILITY";1
"CENTERING REPRODUCTION";"CENTERING REPRODUCTION";2
"CENTERING REPRODUCTIVE";"CENTERING REPRODUCTIVE";4
"CENTERS MULTI-METHOD";"CENTERS MULTI-METHOD";1
"CENTERS REVIEWING";"CENTERS REVIEWING";1
"CENTRE WEBSITES";"CENTRE WEBSITES";4
"CENTURY AFRICA";"CENTURY AFRICA";6
"CENTURY PRESSURE";"CENTURY PRESSURE";4
"CENTURY USA";"CENTURY USA";4
"CERTIFIED NURSE-MIDWIVES";"CERTIFIED NURSE-MIDWIVES";2
"CERVICAL-CANCER PREVENTION";"CERVICAL-CANCER PREVENTION";3
"CHALLENGES ACCESSING";"CHALLENGES ACCESSING";4
"CHALLENGES POWER";"CHALLENGES POWER";6
"CHALLENGING SYSTEMS";"CHALLENGING SYSTEMS";4
"CHANGE CONNECTING";"CHANGE CONNECTING";6
"CHANGE SOCIOECONOMIC";"CHANGE SOCIOECONOMIC";2
"CHANGING DEMOGRAPHICS";"CHANGING DEMOGRAPHICS";6
"CHANGING OBSTETRICS";"CHANGING OBSTETRICS";4
"CHANGING POLITICS";"CHANGING POLITICS";6
"CHARLES MILLSS";"CHARLES MILLSS";4
"CHAUCERS WENCHES";"CHAUCERS WENCHES";6
"CHEEKY WITNESSING";"CHEEKY WITNESSING";6
"CHEMICAL GEOGRAPHIES";"CHEMICAL GEOGRAPHIES";5
"CHEMICAL VALLEY";"CHEMICAL VALLEY";6
"CHILDBEARING WOMEN";"CHILDBEARING WOMEN";2
"CHILDBIRTH ADVOCACY";"CHILDBIRTH ADVOCACY";2
"CHILDBIRTH EXPERIENCES";"CHILDBIRTH EXPERIENCES";2
"CHILDFREE STERILIZATION";"CHILDFREE STERILIZATION";6
"CHILDREN AGED";"CHILDREN AGED";4
"CHILDREN UNDUE";"CHILDREN UNDUE";5
"CHINA-MYANMAR BORDER";"CHINA-MYANMAR BORDER";1
"CHINA READING";"CHINA READING";6
"CHINESE AMERICAN";"CHINESE AMERICAN";6
"CHINESE WOMENS";"CHINESE WOMENS";4
"CHOICE PARTNER";"CHOICE PARTNER";6
"CHOICES LEARNINGS";"CHOICES LEARNINGS";1
"CHOOSING FOLK";"CHOOSING FOLK";5
"CHOOSING UNASSISTED";"CHOOSING UNASSISTED";6
"CHOOSING WISELY";"CHOOSING WISELY";3
"CHRISTIAN ASSOCIATION";"CHRISTIAN ASSOCIATION";6
"CHRISTIAN DISCOURSE";"CHRISTIAN DISCOURSE";5
"CHRISTIAN VISION";"CHRISTIAN VISION";2
"CHRISTMAS SEXUAL";"CHRISTMAS SEXUAL";6
"CHURCH FEMINIST";"CHURCH FEMINIST";2
"CIGUENASI RACE";"CIGUENASI RACE";2
"CISGENDER WOMEN";"CISGENDER WOMEN";3
"CITATION NETWORK";"CITATION NETWORK";6
"CITIZENSHIP GAPS";"CITIZENSHIP GAPS";1
"CIVIC ENGAGEMENT";"CIVIC ENGAGEMENT";2
"CLAIMING MOTHERHOOD";"CLAIMING MOTHERHOOD";6
"CLANDESTINITY STRATEGIC";"CLANDESTINITY STRATEGIC";5
"CLASSED CONSTRUCTIONS";"CLASSED CONSTRUCTIONS";1
"CLERGY SEXUAL";"CLERGY SEXUAL";3
"CLOSING DISPARITIES";"CLOSING DISPARITIES";5
"CO--OPTING REPRODUCTIVE";"CO--OPTING REPRODUCTIVE";6
"CO-PRODUCED GESTATION";"CO-PRODUCED GESTATION";4
"COAST EXPLORING";"COAST EXPLORING";2
"COAST TRIBE";"COAST TRIBE";4
"COCA FARMING";"COCA FARMING";4
"COERCION SUPPORTING";"COERCION SUPPORTING";4
"COHORT DEMOGRAPHICS";"COHORT DEMOGRAPHICS";4
"COHORT STUDY";"COHORT STUDY";4
"COLLECTIVE POWER";"COLLECTIVE POWER";4
"COLLECTIVE SOLIDARITY";"COLLECTIVE SOLIDARITY";2
"COLOMBIAN ARMED";"COLOMBIAN ARMED";6
"COLOMBIAN TRUTH";"COLOMBIAN TRUTH";4
"COLONIAL HAITI";"COLONIAL HAITI";6
"COLONIAL POLICIES";"COLONIAL POLICIES";4
"COLONIALITY EUGENICS";"COLONIALITY EUGENICS";6
"COLONIZATION RESISTANCE";"COLONIZATION RESISTANCE";4
"COLOR ASPIRING";"COLOR ASPIRING";6
"COLOR CHANGING";"COLOR CHANGING";4
"COLOR UPROOTING";"COLOR UPROOTING";4
"COMADRISMA MAMAS";"COMADRISMA MAMAS";2
"COMBAT REPRODUCTIVE";"COMBAT REPRODUCTIVE";4
"COMMERCIAL SEXUAL";"COMMERCIAL SEXUAL";1
"COMMON AGENDA";"COMMON AGENDA";6
"COMMON GROUNDS";"COMMON GROUNDS";6
"COMMUNITY-BASED ORGANIZATIONAL";"COMMUNITY-BASED ORGANIZATIONAL";2
"COMMUNITY-BASED PARTICIPATORY";"COMMUNITY-BASED PARTICIPATORY";2
"COMMUNITY-BASED RESEARCH";"COMMUNITY-BASED RESEARCH";6
"COMMUNITY-ENGAGED CURRICULUM";"COMMUNITY-ENGAGED CURRICULUM";1
"COMMUNITY-INFORMED MODELS";"COMMUNITY-INFORMED MODELS";1
"COMMUNITY-LED MEDIA";"COMMUNITY-LED MEDIA";5
"COMMUNITY-LED MEDICATION";"COMMUNITY-LED MEDICATION";5
"COMMUNITY-LED RESEARCH";"COMMUNITY-LED RESEARCH";5
"COMMUNITY DEVELOPMENT";"COMMUNITY DEVELOPMENT";2
"COMMUNITY IMPACTED";"COMMUNITY IMPACTED";2
"COMMUNITY IUSING";"COMMUNITY IUSING";2
"COMMUNITY OUTCOMES";"COMMUNITY OUTCOMES";2
"COMMUNITY PROPERTY";"COMMUNITY PROPERTY";6
"COMMUNITY RESISTANCE";"COMMUNITY RESISTANCE";6
"COMPANION PROGRAM";"COMPANION PROGRAM";2
"COMPARATIVE ANALYSIS";"COMPARATIVE ANALYSIS";4
"COMPARATIVE EFFECTIVENESS";"COMPARATIVE EFFECTIVENESS";4
"COMPARATIVE SITUATIONAL";"COMPARATIVE SITUATIONAL";5
"COMPASSION EMOTION";"COMPASSION EMOTION";6
"COMPASSION FEMALE";"COMPASSION FEMALE";5
"COMPENSATED SURROGACY";"COMPENSATED SURROGACY";2
"COMPLEX INTERPLAY";"COMPLEX INTERPLAY";1
"COMPLEX INTERSECTIONS";"COMPLEX INTERSECTIONS";4
"COMPLICATED BIRTH";"COMPLICATED BIRTH";1
"COMPOUND COMMUNITY";"COMPOUND COMMUNITY";6
"COMPROMISING JUSTICE";"COMPROMISING JUSTICE";4
"COMRADELY POLITICS";"COMRADELY POLITICS";6
"CONCEPTION INTERVENTIONS";"CONCEPTION INTERVENTIONS";3
"CONCEPTUAL ANATOMY";"CONCEPTUAL ANATOMY";4
"CONCEPTUAL ORIENTATIONS";"CONCEPTUAL ORIENTATIONS";2
"CONCERNS REPRODUCTIVE";"CONCERNS REPRODUCTIVE";4
"CONDITIONAL AGENCY";"CONDITIONAL AGENCY";4
"CONFLICTING KINSHIP";"CONFLICTING KINSHIP";6
"CONFRONTING REPRODUCTIVE";"CONFRONTING REPRODUCTIVE";2
"CONGOLESE REFUGEE";"CONGOLESE REFUGEE";2
"CONNECTING GENDERED";"CONNECTING GENDERED";6
"CONNECTING POLICE";"CONNECTING POLICE";1
"CONSENSUAL SEXUAL";"CONSENSUAL SEXUAL";4
"CONSENT WOMENS";"CONSENT WOMENS";5
"CONSEQUENCE AUGUST";"CONSEQUENCE AUGUST";4
"CONSEQUENCES RESULTING";"CONSEQUENCES RESULTING";1
"CONSERVATIVE LAESTADIANS";"CONSERVATIVE LAESTADIANS";5
"CONSIDERED SUICIDEWHEN";"CONSIDERED SUICIDEWHEN";4
"CONSORTIUM INITIATIVE";"CONSORTIUM INITIATIVE";1
"CONTEMPORARY BLACK";"CONTEMPORARY BLACK";4
"CONTEMPORARY DISCOURSES";"CONTEMPORARY DISCOURSES";1
"CONTEMPORARY JAPANESE";"CONTEMPORARY JAPANESE";6
"CONTEMPORARY SEXUAL";"CONTEMPORARY SEXUAL";4
"CONTEMPORARY SEXUALITY";"CONTEMPORARY SEXUALITY";5
"CONTEMPORARY SPANISH";"CONTEMPORARY SPANISH";6
"CONTEMPORARY STERILISATIONS";"CONTEMPORARY STERILISATIONS";4
"CONTENT ANALYSIS";"CONTENT ANALYSIS";1
"CONTESTED WOMANHOOD";"CONTESTED WOMANHOOD";6
"CONTEXT SOUTH";"CONTEXT SOUTH";5
"CONTEXTUAL APPROACH";"CONTEXTUAL APPROACH";4
"CONTINUING HARMS";"CONTINUING HARMS";5
"CONTINUOUS REPRODUCTIVE";"CONTINUOUS REPRODUCTIVE";6
"CONTRADICT MEDICAL";"CONTRADICT MEDICAL";4
"CONTROL BAN";"CONTROL BAN";5
"CONTROL MAKES";"CONTROL MAKES";5
"CONTROL REPRODUCTIVE";"CONTROL REPRODUCTIVE";2
"CONTROLLING IMAGES";"CONTROLLING IMAGES";5
"CONTROVERSIES RIGHTS";"CONTROVERSIES RIGHTS";1
"CORE COMPETENCIES";"CORE COMPETENCIES";1
"CORNER REPRODUCTIVE";"CORNER REPRODUCTIVE";6
"COSTA RICA";"COSTA RICA";5
"COUNSELING SHARED";"COUNSELING SHARED";4
"COUNSELING TRAINING";"COUNSELING TRAINING";5
"COUNSELING WHATS";"COUNSELING WHATS";3
"COUNSELLING CONTROVERSIES";"COUNSELLING CONTROVERSIES";5
"COUNSELOR BIAS";"COUNSELOR BIAS";4
"COUNTER-HEGEMONIC REPRODUCTIVE";"COUNTER-HEGEMONIC REPRODUCTIVE";2
"COUNTER NARRATIVES";"COUNTER NARRATIVES";6
"COUNTER THEORY-BASED";"COUNTER THEORY-BASED";4
"COUNTERING CONTEMPORARY";"COUNTERING CONTEMPORARY";5
"COUNTERING RENEWED";"COUNTERING RENEWED";2
"COUNTING LIFE";"COUNTING LIFE";6
"COUNTRIES LMICS";"COUNTRIES LMICS";1
"COUNTRY EXAMINING";"COUNTRY EXAMINING";2
"COUPLES DESIRING";"COUPLES DESIRING";3
"COURT DATA";"COURT DATA";5
"COURTS PUBLIC";"COURTS PUBLIC";2
"CRAIG ERA";"CRAIG ERA";6
"CREAR-PERRY COLLABORATING";"CREAR-PERRY COLLABORATING";6
"CREATING RESPONSE-ABLE";"CREATING RESPONSE-ABLE";3
"CREOLE CHRISTMAS";"CREOLE CHRISTMAS";6
"CRIMINALIZE PARENTING";"CRIMINALIZE PARENTING";5
"CRIP PERSPECTIVES";"CRIP PERSPECTIVES";6
"CRISPR ENTERS";"CRISPR ENTERS";4
"CRISTIAN MUNGIUS";"CRISTIAN MUNGIUS";6
"CRITICAL-CONCEPTUAL FRAMEWORK";"CRITICAL-CONCEPTUAL FRAMEWORK";3
"CRITICAL INTERPRETATIVE";"CRITICAL INTERPRETATIVE";6
"CRITICAL LITERACIES";"CRITICAL LITERACIES";4
"CRITICAL PSYCHOLOGY";"CRITICAL PSYCHOLOGY";6
"CRITICAL RACE";"CRITICAL RACE";4
"CRITICAL REFLECTION";"CRITICAL REFLECTION";4
"CRITICAL REPARATIVE";"CRITICAL REPARATIVE";2
"CRITICAL REPRODUCTIVE";"CRITICAL REPRODUCTIVE";1
"CRITICAL TOOLS";"CRITICAL TOOLS";5
"CROSS-BORDER REPRODUCTION";"CROSS-BORDER REPRODUCTION";4
"CROSS-BORDER TRAVEL";"CROSS-BORDER TRAVEL";1
"CROSS-CULTURAL HEALTHCARE";"CROSS-CULTURAL HEALTHCARE";1
"CROSS-FERTILISING REPRODUCTION";"CROSS-FERTILISING REPRODUCTION";4
"CROSS-SPECIES ASSEMBLAGES";"CROSS-SPECIES ASSEMBLAGES";4
"CULTIVATING ACCESS";"CULTIVATING ACCESS";6
"CULTIVATING CONNECTIONS";"CULTIVATING CONNECTIONS";6
"CULTIVATING IGNORANCE";"CULTIVATING IGNORANCE";6
"CULTIVATING VITAL";"CULTIVATING VITAL";1
"CULTIVATION RUTH";"CULTIVATION RUTH";2
"CULTURAL ASSUMPTIONS";"CULTURAL ASSUMPTIONS";4
"CULTURAL CONTEXTS";"CULTURAL CONTEXTS";1
"CULTURAL DE-COLONIZATION";"CULTURAL DE-COLONIZATION";6
"CULTURAL HUMILITY";"CULTURAL HUMILITY";1
"CULTURAL LITERACY";"CULTURAL LITERACY";1
"CULTURAL NARRATIVES";"CULTURAL NARRATIVES";5
"CULTURAL RESPONSES";"CULTURAL RESPONSES";6
"CULTURALLY SAFE";"CULTURALLY SAFE";1
"CULTURALLY SPECIFIC";"CULTURALLY SPECIFIC";1
"CULTURE INOT";"CULTURE INOT";6
"CULTURE STUDIES";"CULTURE STUDIES";4
"CURRENT EVIDENCE";"CURRENT EVIDENCE";1
"CURRENT FIGHT";"CURRENT FIGHT";4
"CURRENT TRENDS";"CURRENT TRENDS";6
"CURRICULUM COVERAGE";"CURRICULUM COVERAGE";4
"CURRICULUM DEVELOPMENT";"CURRICULUM DEVELOPMENT";1
"CUT KIN";"CUT KIN";2
"CYBORG UTERINE";"CYBORG UTERINE";2
"CYCLE ARTISTS";"CYCLE ARTISTS";4
"DA AUDIÊNCIA";"DA AUDIÊNCIA";5
"DA MATERNIDADE";"DA MATERNIDADE";1
"DA VIOLÊNCIA";"DA VIOLÊNCIA";2
"DAILY REMINDER";"DAILY REMINDER";5
"DANIEL CRAIG";"DANIEL CRAIG";6
"DAPIVIRINE RING";"DAPIVIRINE RING";3
"DARK ROAD";"DARK ROAD";6
"DAUGHTER KAKUYA";"DAUGHTER KAKUYA";6
"DAY EXAMINING";"DAY EXAMINING";2
"DE-COLONIZATION VERSUS";"DE-COLONIZATION VERSUS";6
"DE ESCOPO";"DE ESCOPO";1
"DE GÉNERO";"DE GÉNERO";4
"DE PLANIFICACIÓN";"DE PLANIFICACIÓN";4
"DE QUEER";"DE QUEER";1
"DE SALUD";"DE SALUD";1
"DE SAÚDE";"DE SAÚDE";4
"DE SUBSTITUTION";"DE SUBSTITUTION";1
"DE UMA";"DE UMA";2
"DE VIOLÊNCIA";"DE VIOLÊNCIA";2
"DEAL CHALLENGES";"DEAL CHALLENGES";2
"DEATH RATES";"DEATH RATES";2
"DEATH RETHINKING";"DEATH RETHINKING";5
"DEBATE BINARY";"DEBATE BINARY";5
"DEBATE SOBRE";"DEBATE SOBRE";5
"DECISION-MAKING MODEL";"DECISION-MAKING MODEL";1
"DECISION REPRODUCTIVE";"DECISION REPRODUCTIVE";2
"DECOLONIAL FEMINIST";"DECOLONIAL FEMINIST";3
"DECOLONIAL QUEER";"DECOLONIAL QUEER";2
"DECOLONIAL REPRODUCTIVE";"DECOLONIAL REPRODUCTIVE";2
"DECOLONIZED MENTAL";"DECOLONIZED MENTAL";2
"DECOLONIZING FEMINISM";"DECOLONIZING FEMINISM";3
"DECOLONIZING NURSING";"DECOLONIZING NURSING";1
"DECOUPLING ECONOMIC";"DECOUPLING ECONOMIC";4
"DECRIMINALIZATION IRISH";"DECRIMINALIZATION IRISH";5
"DEEPLY ROOTED";"DEEPLY ROOTED";5
"DEFAULT HUMAN";"DEFAULT HUMAN";4
"DEFEAT MISCARRIAGE";"DEFEAT MISCARRIAGE";5
"DEFECTS RESEARCH";"DEFECTS RESEARCH";6
"DEFENSE ATTORNEYS";"DEFENSE ATTORNEYS";2
"DEFERRED ACTION";"DEFERRED ACTION";4
"DEFINING SEXUAL";"DEFINING SEXUAL";4
"DELIBERATE DELAYS";"DELIBERATE DELAYS";4
"DELINEAMENTO DE";"DELINEAMENTO DE";2
"DELIVERING POWER";"DELIVERING POWER";6
"DELPHI CONSENSUS";"DELPHI CONSENSUS";1
"DELPHI STUDY";"DELPHI STUDY";1
"DEMAND INSURANCE";"DEMAND INSURANCE";2
"DEMOCRACY REAL";"DEMOCRACY REAL";2
"DEMOGRAPHIC HISTORIES";"DEMOGRAPHIC HISTORIES";4
"DEMONSTRATION PROGRAM";"DEMONSTRATION PROGRAM";1
"DENSE TEMPORALITIES";"DENSE TEMPORALITIES";4
"DEPLOY IDEAS";"DEPLOY IDEAS";5
"DEPOLITICISED EPIDEMIC";"DEPOLITICISED EPIDEMIC";4
"DEPRESSIVE SYMPTOMOLOGY";"DEPRESSIVE SYMPTOMOLOGY";4
"DESAFIOS TEÓRICO-POLÍTICOS";"DESAFIOS TEÓRICO-POLÍTICOS";4
"DESENVOLVIMENTO SUSTENTÁVEL";"DESENVOLVIMENTO SUSTENTÁVEL";2
"DESIRING CHILDREN";"DESIRING CHILDREN";3
"DEVELOPMENT GOALS";"DEVELOPMENT GOALS";1
"DEVELOPMENT IMPLEMENTATION";"DEVELOPMENT IMPLEMENTATION";6
"DEVELOPMENT OBJECTIVES";"DEVELOPMENT OBJECTIVES";2
"DEVELOPMENT URBAN";"DEVELOPMENT URBAN";2
"DEVELOPMENTAL DISABILITIES";"DEVELOPMENTAL DISABILITIES";6
"DEVELOPMENTAL ISSUES";"DEVELOPMENTAL ISSUES";4
"DEVICE INSERTIONAL";"DEVICE INSERTIONAL";4
"DEVIL ADVOCATING";"DEVIL ADVOCATING";6
"DEVIS GIRIBALA";"DEVIS GIRIBALA";6
"DIFFICULT DISCONTINUATION";"DIFFICULT DISCONTINUATION";4
"DIFFICULT QUESTIONS";"DIFFICULT QUESTIONS";5
"DIFFRACTIVE SWIMMING";"DIFFRACTIVE SWIMMING";6
"DIGITAL SNAPSHOT";"DIGITAL SNAPSHOT";2
"DIGITAL STORYTELLING";"DIGITAL STORYTELLING";4
"DIGITAL TECHNOLOGIES";"DIGITAL TECHNOLOGIES";3
"DIGNIFIED CARE";"DIGNIFIED CARE";2
"DIRECT-TO-CONSUMER GENETIC";"DIRECT-TO-CONSUMER GENETIC";4
"DIRECT SERVICE";"DIRECT SERVICE";2
"DIRECTIVES CONTRADICT";"DIRECTIVES CONTRADICT";4
"DIRECTIVES PROMOTING";"DIRECTIVES PROMOTING";1
"DIREITOS HUMANOS";"DIREITOS HUMANOS";4
"DISABILITIES IREPRODUCTIVE";"DISABILITIES IREPRODUCTIVE";6
"DISABILITY JUSTICEI";"DISABILITY JUSTICEI";1
"DISABILITY RACE";"DISABILITY RACE";6
"DISABILITY SELECTIVE";"DISABILITY SELECTIVE";5
"DISABILITY STUDIES";"DISABILITY STUDIES";2
"DISABILITY VISIBILITY";"DISABILITY VISIBILITY";1
"DISABLED BABIESHOW";"DISABLED BABIESHOW";5
"DISABLED WOMENS";"DISABLED WOMENS";1
"DISARTICULATORY PRACTICE";"DISARTICULATORY PRACTICE";2
"DISASTER RESPONSE";"DISASTER RESPONSE";2
"DISCLOSING DOMESTIC";"DISCLOSING DOMESTIC";3
"DISCOMFORTING NARRATIVE";"DISCOMFORTING NARRATIVE";4
"DISCORDANT EXPECTATIONS";"DISCORDANT EXPECTATIONS";6
"DISCOURSE WOMENS";"DISCOURSE WOMENS";6
"DISCRIMINATION IMPACTS";"DISCRIMINATION IMPACTS";1
"DISCRIMINATORY ACCURACY";"DISCRIMINATORY ACCURACY";4
"DISCUSSING LESSONS";"DISCUSSING LESSONS";6
"DISMANTLING BARRIERS";"DISMANTLING BARRIERS";1
"DISORDER INCREASES";"DISORDER INCREASES";6
"DISPARITIES RESEARCH";"DISPARITIES RESEARCH";1
"DISRUPTED MASS";"DISRUPTED MASS";2
"DISRUPTING FAMILY";"DISRUPTING FAMILY";5
"DISSENT REPRODUCTIVE";"DISSENT REPRODUCTIVE";4
"DISSENTING FICTION";"DISSENTING FICTION";2
"DISTORTED RELATIONSHIPS";"DISTORTED RELATIONSHIPS";2
"DIVERSE INDIVIDUALS";"DIVERSE INDIVIDUALS";2
"DIVERSE PATIENTS";"DIVERSE PATIENTS";2
"DIVERSE PEOPLE";"DIVERSE PEOPLE";4
"DIVERSE POPULATIONS";"DIVERSE POPULATIONS";1
"DIVERSE SEXUAL";"DIVERSE SEXUAL";2
"DIVERSE STAKEHOLDERS";"DIVERSE STAKEHOLDERS";6
"DIVERSITY INCLUSION";"DIVERSITY INCLUSION";1
"DIVIDED CITIZENSHIP";"DIVIDED CITIZENSHIP";5
"DIY MEDIA-MAKING";"DIY MEDIA-MAKING";4
"DOCTORS DUTY";"DOCTORS DUTY";5
